#META,,,,,,,,,,,,
episodeId,episodeTitle,firstNodeId,,,,,,,,,,
StrangeCoin_0,이상한 동전 - 0,0,,,,,,,,,,
,,,,,,,,,,,,
#TRIGGER,,,,,,,,,,,,
minDay,requiredFlags,blockedFlags,prerequisiteEpisodeIds,requiredVars,,,,,,,,
0,,,,,,,,,,,,
,,,,,,,,,,,,
#OPENING_CHARS,,,,,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,,,,,
f72,frust,-1,,,,,,,,,,
,,,,,,,,,,,,
#NODES,,,,,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,nextNodeIdGood,nextNodeIdBad,bgmCommand,bgmClipName,craftingFlagGood,craftingFlagBad,craftingVarChangesGood,craftingVarChangesBad,craftingRecipeId
0,f72,???,흠..크흠…,1,FALSE,,,,play,Ep_main_0,,
1,f72,???,(은밀히 수상한 화폐를 건네며) 여기 <b>갓파더</b> 하나.,2,FALSE,,,,,,,
2,shaun,,죄송합니다 손님. 저희는 공식 화폐만 받습니다만…,3,FALSE,,,,,,,
3,f72,???,순진한 바텐더 씨는 경찰 무서운 줄 모르는군!,4,FALSE,,,,,,,
4,f72,???,영업 정지되고 싶지 않으면 <u>당장 술 내오는 게 좋을거야!</u>,5,FALSE,,,,,,,
5,,,,,TRUE,sc0_f72,5_1_1,5_2_1,,,sc0_true,sc0_false,,,vodka_lemon
5_1_1,f72,???,소문대로 꽤 괜찮군.,5_1_2,FALSE,,,,,,,
5_1_2,f72,???,<b>5번가</b>의 싸구려 <b>밀주</b>랑은 차원이 달라.,5_1_3,FALSE,,,,,,,
5_1_3,f72,???,아.,5_1_4,FALSE,,,,,,,
5_1_4,f72,???,밀주 얘기는 비밀이야. 알겠지?,,FALSE,,,,,,,
5_2_1,f72,???,이봐. 이거 내가 주문한거 맞아?,5_2_2,FALSE,,,,,,,
5_2_2,f72,???,여기라고 <b>5번가</b>랑 다를게 없군.,5_2_3,FALSE,,,,,,,
5_2_3,f72,???,아.,5_2_4,FALSE,,,,,,,
5_2_4,f72,???,방금 이야기는 잊어!,,FALSE,,,,,,,
,,,,,,,,,,,,
#NODE_CHARS,,,,,,,,,,,,
nodeId,characterKey,expressionKey,slotIndex,,,,,,,,,
0,f72,annoy,-1,,,,,,,,,
1,f72,mid,-1,,,,,,,,,
2,f72,mid,-1,,,,,,,,,
3,f72,annoy,-1,,,,,,,,,
4,f72,annoy,-1,,,,,,,,,
5,f72,annoy,-1,,,,,,,,,
5_1_1,f72,smile,-1,,,,,,,,,
5_1_2,f72,smile,-1,,,,,,,,,
5_1_3,f72,frust,-1,,,,,,,,,
5_1_4,f72,mid,-1,,,,,,,,,
5_2_1,f72,devas,-1,,,,,,,,,
5_2_2,f72,devas,-1,,,,,,,,,
5_2_3,f72,frust,-1,,,,,,,,,
5_2_4,f72,annoy,-1,,,,,,,,,
,,,,,,,,,,,,
#CHOICES,,,,,,,,,,,,
nodeId,choiceIndex,buttonText,nextNodeId,setFlags,clearFlags,varChanges,,,,,,
,,,,,,,,,,,,
#NODE_BRANCHES,,,,,,,,,,,,
nodeId,requiredAllFlags,requiredAnyFlags,nextNodeId,,,,,,,,,
,,,,,,,,,,,,
#NODE_VAR_BRANCHES,,,,,,,,,,,,
nodeId,varName,op,threshold,nextNodeId,,,,,,,,
