#META,,,,,,,,
episodeId,episodeTitle,firstNodeId,,,,,,
StrangeCoin_2,이상한 동전 - 2,0,,,,,,
,,,,,,,,
#TRIGGER,,,,,,,,
minDay,requiredFlags,blockedFlags,prerequisiteEpisodeIds,requiredVars,,,,
0,,,StrangeCoin_1,,,,,
,,,,,,,,
#OPENING_CHARS,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,
,,,,,,,,
#NODES,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,nextNodeIdGood,nextNodeIdBad
0,shaun,,어서오세요. 손님.,1,FALSE,,,
1,shaun,,오늘 하루는 어떠셨…,2_2_1,FALSE,,,
2_1_1,sally,,…좋은 저녁이야 바텐더,2_1_2,FALSE,,,
2_1_2,shaun,,"앗, 셀리씨. 정말 또 오셨네요!",2_1_3,FALSE,,,
2_1_3,sally,,목소리 낮춰.,2_1_4,FALSE,,,
2_1_4,sally,,…72 녀석이 또 여기서 보자고 고집했을 뿐이야.,2_1_5,FALSE,,,
2_1_5,shaun,,아하 그렇군요.,2_1_6,FALSE,,,
2_1_6,sally,,"뭐, 이번에는 여기서 술 한잔해보고 싶기도 하고.",2_1_7,FALSE,,,
2_1_7,shaun,,좋은 선택이에요. 어떤 걸로 드릴까요? ,2_1_8,FALSE,,,
2_1_8,sally,,난 칵테일 같은 거 잘 몰라. 그냥… <b>네가 제일 잘 하는거?</b>,2_1_9,FALSE,,,
2_1_9,sally,,"미안, 주문 같은 거 해본 적이 없어서.",2_1_10,FALSE,,,
2_1_10,shaun,,아니에요! 오히려 기쁜 주문인걸요!,2_1_11,FALSE,,,
2_1_11,sally,,알았다고. 빨리 한잔 내어줘.,2_1_12,FALSE,,,
2_1_12,shaun,,"네, 물론이죠.",2_1_13,FALSE,,,
2_1_13,,,,,TRUE,sc2_sally,2_1_13_1_1,2_1_13_2_1
2_1_13_1_1,sally,,음.. 이건..,2_1_13_1_2,FALSE,,,
2_1_13_1_2,sally,,괜찮네. 제대로 된 술은 처음 마셔봐.,2_1_14,FALSE,,,
2_1_13_2_1,sally,,...난 칵테일이랑은 잘 안 맞는 것 같아.,2_1_14,FALSE,,,
2_1_14,sally,,5번가에서 술은 사치거든. 게다가 대부분 메탄올로 만든 싸구려 밀주들 뿐이야.,2_1_15,FALSE,,,
2_1_15,sally,,말이 밀주지 사실상 독극물이라니까.,2_1_16,FALSE,,,
2_1_16,shaun,,듣기만 해도 살벌하네요.,2_1_17,FALSE,,,
2_1_17,sally,,"뭐, 그래도 우리도 가끔 제대로 된 술을 마실 때가 있어.",2_1_18,FALSE,,,
2_1_18,sally,,제대로 된 술이라 해봐야 독성이 없는 순수한 알콜이지만.,2_1_19,FALSE,,,
2_1_19,shaun,,그럼 근래 제대로 된 술을 드셔본 건 언제신가요?,2_1_20,FALSE,,,
2_1_20,sally,,<b>2년 전 동료가 죽었을 때.</b>,2_1_21,FALSE,,,
2_1_21,shaun,,아. ,2_1_22,FALSE,,,
2_1_22,shaun,,죄송합니다. 제가 괜한 질문을 한 것 같네요.,2_1_23,FALSE,,,
2_1_23,sally,,그런 반응 보일 필요 없어. 동료의 마지막을 함께하는 우리만의 방식이야.,2_1_24,FALSE,,,
2_1_24,sally,,"번가에서는 하루에도 수백 명씩 죽어 나가거든. 이름도, 가족도 없는 채로.",2_1_25,FALSE,,,
2_1_25,sally,,그리고 알잖아. 우리가 죽은 사람들을 가지고 <b>무슨 짓</b>을 하는지.,2_1_26,FALSE,,,
2_1_26,shaun,,<b>...</b>,2_1_27,FALSE,,,
2_1_27,sally,,동료나 가족이 죽으면 땅에 묻어준 뒤 다 같이 모여.,2_1_28,FALSE,,,
2_1_28,sally,,그리곤 술을 마시지. 한 병에 담긴 걸로 한두 모금씩 나눠마시는 거야.,2_1_29,FALSE,,,
2_1_29,sally,,남은 건 떠난 동료가 묻힌 땅에 부어.,2_1_30,FALSE,,,
2_1_30,sally,,그럼 뭐랄까. 조금 <b>연결된</b> 기분이 들거든.,2_1_31,FALSE,,,
2_1_31,sally,,나도 자세히는 몰라. 5번가에 노파 한 명이 살거든? 거기서 제일 오래 산 사람이야. 아무도 이름은 몰라.,2_1_32,FALSE,,,
2_1_32,sally,,그 사람이 그랬어. 인간끼리는 원래 그렇게 한대. 자기도 어렸을 때 가족한테 들었다나.,2_1_33,FALSE,,,
2_1_33,shaun,,그렇군요… 저도 아버지께 들은 적이 있어요.,2_1_34,FALSE,,,
2_1_34,sally,,아버지가?,2_1_35,FALSE,,,
2_1_35,shaun,,"3일 동안 펍의 중앙에 망자의 관을 두고, 가까운 사람들을 불러 술을 마시는 거라고. ",2_1_36,FALSE,,,
2_1_36,shaun,,결국 그 방식으로 아버지를 보내게 됐지만.,2_1_37,FALSE,,,
2_1_37,sally,,유감이야. 9번가라고 사람 사는 거 별반 다를 게 없군.,2_1_38,FALSE,,,
2_1_38,shaun,,단골손님인 영감님과 F54를 제외하면 3일 내내 저 혼자였지만요.,2_1_39,FALSE,,,
2_1_39,sally,,…그랬군.,2_1_40,FALSE,,,
2_1_40,sally,,그 3일동안 기분이 어땠어?,,FALSE,,,
2_1_41_1_1,shaun,,외로웠어요.,2_1_41_1_2,FALSE,,,
2_1_41_1_2,shaun,,이제 정말 혼자 남겨진것 같았거든요.,2_1_41_1_3,FALSE,,,
2_1_41_1_3,shaun,,"어떻게 살아가야 할지도, 어디서 부터 뭘 어떻게 해야할지 감도 잡히지 않더라구요.",2_1_41_1_4,FALSE,,,
2_1_41_1_4,sally,,그런 확신은 네 스스로가 아니면 아무도 줄 수 없어.,2_1_41_1_5,FALSE,,,
2_1_41_1_5,sally,,스스로 일어서는 법을 찾아야해. 그렇지 못하면…,2_1_41_1_6,FALSE,,,
2_1_41_1_6,sally,,"뭐, 시체나 파먹고 사는 내가 할 말은 아니네.",2_1_42,FALSE,,,
2_1_41_2_1,shaun,,슬펐어요.,2_1_41_2_2,FALSE,,,
2_1_41_2_2,shaun,,"유일한 가족이 떠난것도, 찾아올 사람이 몇 없는 것도요.",2_1_41_2_3,FALSE,,,
2_1_41_2_3,sally,,마지막까지 자리를 지켜준 사람들을 가족으로 생각하지 않는건 실례야.,2_1_41_2_4,FALSE,,,
2_1_41_2_4,sally,,꼭 피가 섞여야만 가족인건 아니니까.,2_1_42,FALSE,,,
2_1_41_3_1,shaun,,아무렇지 않았어요.,2_1_41_3_2,FALSE,,,
2_1_41_3_2,shaun,,이상하게 눈물이 나지 않더라구요.,2_1_41_3_3,FALSE,,,
2_1_41_3_3,shaun,,"슬프면 눈물이 난다던데, 슬프지 않았던 걸까요.",2_1_41_3_4,FALSE,,,
2_1_41_3_4,sally,,꼭 눈물이 나야 슬픈건 아니야.,2_1_41_3_5,FALSE,,,
2_1_41_3_5,sally,,5번가 사람들은 가족들의 시체위에서 살아가지만 아무도 울지 않아.,2_1_42,FALSE,,,
2_1_42,sally,,깊게 생각하지마 아무튼 내 생각은 그렇다는 거야.,2_1_43,FALSE,,,
2_1_43,f72,,"좋은 저녁! 바텐더. 오, 셀리도 먼저 와있었구나!",2_1_44,FALSE,,,
2_1_44,f72,,자-잠깐 분위기 왜이래? 또 싸우기라도 한거야?,2_1_45,FALSE,,,
2_1_45,sally,,신경쓰지마. 별일…아니니까,2_1_46,FALSE,,,
2_1_46,shaun,,어서오세요. 72님.,2_1_47,FALSE,,,
2_1_47,f72,,"뭐야, 이미 마시고 있었네? 저번엔 안 마신다더니. 뭐 시킨거야?",2_1_48,FALSE,,,
2_1_48,sally,,…그냥 <b>아무거나.</b> 내가 칵테일 같은거 알리가 없잖아.,2_1_49,FALSE,,,
2_1_49,sally,,그리고 안 마신다 한적 없어. <b>너랑은</b> 안마신다고 했지.,3,FALSE,,,
2_2_1,f72,,좋은 저녁이야 바텐더!,2_2_2,FALSE,,,
2_2_2,shaun,,F72님. 또 오셨군요. 좋은 저녁이에요.,2_2_3,FALSE,,,
2_2_3,f72,,아아... 역시 여기가 제일 편해.,2_2_4,FALSE,,,
2_2_4,shaun,,평소답지 않게 피곤해 보이시네요. 무슨 일 있으셨어요? ,2_2_5,FALSE,,,
2_2_5,f72,,일이지 뭐. 내가 좀… 불량하긴 해도 경찰인 이상 할 건 해야 하거든.,2_2_6,FALSE,,,
2_2_6,shaun,,뭔가 72님께서 업무 보시는 모습은 상상이 안 가네요.,2_2_7,FALSE,,,
2_2_7,f72,,업무는 무슨. 그냥 서류 뭉치에 파묻혀 있다가 도망쳐 나온 거야.,2_2_8,FALSE,,,
2_2_8,f72,,본부 놈들은 내 인내심도 숫자로 측정할 수 있다고 믿나 봐. ,2_2_9,FALSE,,,
2_2_9,shaun,,그렇군요…,2_2_10,FALSE,,,
2_2_10,f72,,"아무튼, 여기서 조금 있다가 셀리랑 만나기로 했어. 그 전에 빨리 한잔 부탁해.",2_2_11,FALSE,,,
2_2_11,shaun,,셀리씨도 오시는군요. 이번에는 별일 없겠죠?,2_2_12,FALSE,,,
2_2_12,f72,,"걱정하지 말라고, 이제 서로 구면이잖아.",2_2_13,FALSE,,,
2_2_13,shaun,,"그럼, 주문은 어떤 걸로 하시겠어요? 저번과 같은 걸로 드릴까요?",2_2_14,FALSE,,,
2_2_14,f72,,오늘같은 답답한 날에는 좀 <b>시원한게</b> 필요하겠는데. <b>진 토닉</b>으로 부탁해!,2_2_15,FALSE,,,
2_2_15,,,,,TRUE,sc2_f72,2_2_15_1_1,2_2_15_2_1
2_2_15_1_1,f72,,"키야, 이거지. 막힌 가슴이 뻥 뚫리는 기분이야. ",2_2_15_1_2,FALSE,,,
2_2_15_1_2,f72,,"본부 놈들은 커피도 무슨 기계 오일 같은 것만 마신다고. 정제되고, 깨끗하고, 지독하게 맛없는 거.",2_2_16,FALSE,,,
2_2_15_2_1,f72,,우리 바텐더한테 진 토닉은 너무 어려웠나?,2_2_15_2_2,FALSE,,,
2_2_15_2_2,f72,,다음엔 좀 더 쉬운 걸로 주문해 줄게~,2_2_16,FALSE,,,
2_2_16,f72,,놈들은 항상 그게 옳다고 믿나 봐. 재미없게 말이야. 그치?,2_2_17,FALSE,,,
2_2_17,f72,,매일같이 숫자나 두드리면서 온 우주에 대한 해답을 아는 양 군다니까. 그런 건 질색이야.,2_2_18,FALSE,,,
2_2_18,shaun,,72님은 꽤나 자유분방한 분이신가 보군요.,2_2_19,FALSE,,,
