#META,,,,,,,,,
episodeId,episodeTitle,firstNodeId,,,,,,,
StrangeCoin_4,이상한 동전 - 4,0,,,,,,,
,,,,,,,,,
#TRIGGER,,,,,,,,,
minDay,requiredFlags,blockedFlags,prerequisiteEpisodeIds,requiredVars,,,,,
0,,,,,,,,,
,,,,,,,,,
#OPENING_CHARS,,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,,
,,,,,,,,,
,,,,,,,,,
#NODES,,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,nextNodeIdGood,nextNodeIdBad,setFlags
0,f72,,정말이라니까! 라티오들은 손가락으로 액체를 마신다고!,1,FALSE,,,,
1,sally,,거짓말도 적당히 해. 그런걸 누가 믿어?,2,FALSE,,,,
2,f72,,왜 아무도 안 믿어주는거야! 내가 오늘 그걸 보려고 얼마나 애썼는줄 알아?,3,FALSE,,,,
3,f72,,본부에 라티오가 한녀석 있는데 하루종일 그 녀석이 뭔가를 마실때까지 쫓아다녔다고!,4,FALSE,,,,
4,sally,,넌 도대체 본부에서 뭘 하는거야? 할 일이 그렇게 없어?,5,FALSE,,,,
5,sally,,덕분에 5번가 치안이 이모양 이꼴이라 고맙네요.,6,FALSE,,,,
6,f72,,헤헤- 칭찬으로 받아들이지.,7,FALSE,,,,
7,f72,,아! 바텐더! 좋은 밤이야! 장사는 잘 되어가?,8,FALSE,,,,
8,shaun,,좋은 밤이에요. 72님.,9,FALSE,,,,
9,shaun,,돈전을 담을 더 큰 통을 찾아야 할정도로 잘 되어간답니다.,10,FALSE,,,,
10,sally,,그거 듣기 좋은 소식이군. 좋은 소식.. 맞지?,11,FALSE,,,,
11,f72,,"동전이면 어때? F54도 눈감아주고, E12랑도 잘 이야기 끝난거 아니었어?",12,FALSE,,,,
12,sally,,"멍청아, 그래도 동전은 동전이잖아.",13,FALSE,,,,
13,shaun,,괜찮습니다. 동전을 받기로 한것은 제 선택인걸요.,14,FALSE,,,,
14,shaun,,그리고 때로는 특별한 재료들을 쉽게 구할 수도 있으니까요.,15,FALSE,,,,
15,sally,,"훗, 못 본 새에 굉장히 대담해졌군, 바텐더.",16,FALSE,,,,
16,sally,,"경찰 나리, 이거 체포해야 하는거 아니야?",17,FALSE,,,,
17,f72,,이 펍이 문을 닫았다가는 섹터0에서 제대로 된 술을 마시는건 포기해야 할걸?,18,FALSE,,,,
18,shaun,,과찬이십니다.,19,FALSE,,,,
19,f72,,그런 의미에서 한잔 주문하지. <b>갓파더로</b> 부탁해.,20,FALSE,,,,
20,shaun,,탁월한 선택이십니다. 오늘같이 쌀쌀한 날에는 위스키 칵테일 만한게 없죠.,21,FALSE,,,,
21,,,,,TRUE,sc4_f72,21-1-1,21-2-1,
21-1-1,f72,,아- 온 몸이 녹아내리는것 같다니까.,23,FALSE,,,,sc4_true
21-2-1,f72,,음…오늘은 뭔가 부족한 맛인걸,21-2-2,FALSE,,,,sc4_false
21-2-2,f72,,생각해보니 펍 하나쯤 망해도 괜찮을것 같아,21-2-3,FALSE,,,,
21-2-3,sally,,72! 입 조심해.,21-2-4,FALSE,,,,
21-2-4,f72,,왜 그래? 농담이라고 농담!,23,FALSE,,,,
22-1-1,f72,,"이거 마시니까, 펍에 처음 왔던 때가 기억나네.",22-1-2,FALSE,,,,
22-1-2,f72,,"그때도 이걸 시켰었잖아, 바텐더. 기억해?",22-1-3,FALSE,,,,
22-1-3,f72,,여기가 괜찮은 펍 일줄은 그때 첫 잔을 마셨을때부터 알아봤다고.,22-1-4,FALSE,,,,
22-1-4,sally,,퍽이나 알아봤겠다. 너 때문에 여기서 경찰한테 걸려서 다 죽을뻔했던건 기억도 안나시나봐?,22-1-5,FALSE,,,,
22-1-5,sally,,바텐더가 아니었다면 지금쯤 우린 여기 없었을지도 몰라.,23,FALSE,,,,
22-2-1,f72,,펍에 처음 왔던 때가 기억나는군,22-2-2,FALSE,,,,
22-2-2,f72,,"바텐더, 이정도면 나한테만 엉터리로 주는거 아니야?",22-2-3,FALSE,,,,
22-2-3,sally,,네 행실을 보면 그럴지도 모르지. 난 괜찮았는데.,22-2-4,FALSE,,,,
22-2-4,f72,,"내 말은, 나같은 전문가의 입맛에는 못 미친다 이 말씀이지.",22-2-5,FALSE,,,,
22-2-5,sally,,으.,22-2-6,FALSE,,,,
22-2-6,f72,,뭐야 그 반응은! 나도 상처 받는다고!,23,FALSE,,,,
23,sally,,말 나온김에 나도 한잔 마셔야 겠어.,24,FALSE,,,,
24,sally,,그.. 뭐였더라… 저번에 그 꼬맹이가 마셨던걸로 부탁해.,25,FALSE,,,,
25,shaun,,<b>네그로니</b> 말씀이신가요?,26,FALSE,,,,
26,sally,,그래! 그거. 이름 참 복잡하네.,27,FALSE,,,,
27,,,,,TRUE,sc4_sally,27-1-1,27-2-1,
27-1-1,sally,,괜찮네. 이런 맛이었군.,27-1-2,FALSE,,,,
27-1-2,sally,,<b>녀석</b>한테는 너무 쓴 맛이었겠어.,28,FALSE,,,,
27-2-1,sally,,음… <b>녀석</b>한테 준거랑 똑같은거 맞아?,27-2-2,FALSE,,,,
27-2-2,sally,,"훗, 녀석이 말한 어른의 맛은 영원히 미스테리로 남겠군.",28,FALSE,,,,
28,f72,,<b>녀석</b>이라니? 여기 누구 데리고 왔었어? 애인이라도 생긴거야?,29,FALSE,,,,
29,sally,,닥쳐. 그런거 아니니까.,30,FALSE,,,,
30,f72,,"뭐야? 누군데? 바텐더, 나한테만 슬쩍 얘기해줘!",31,FALSE,,,,
31,shaun,,"우선, 애인 이야기는 아닙니다.",32,FALSE,,,,
32,e12,,"안녕하십니까, 바텐더씨.",33,FALSE,,,,
33,shaun,,아! 어서오세요. 12님.,34,FALSE,,,,
34,f72,,엇… 너가 왜 여기…,35,FALSE,,,,
35,sally,,좋은 밤이야 12.,36,FALSE,,,,
36,e12,,좋은 밤입니다. 셀리님.,37,FALSE,,,,
37,e12,,나머지 두 분도 좋은 밤이에요.,38,FALSE,,,,
38,f72,,"뭐야, 바텐더씨.",39,FALSE,,,,
39,shaun,,며칠 전에 이 펍에서 꽤 <b>깊은 대화</b>가 오갔답니다.,40,FALSE,,,,
40,f72,,대화? 이 둘이? 차라리 라티오가 <b>탭댄스</b>를 췄다고 해라.,41,FALSE,,,,
41,f72,,"12, 너 대체 무슨 일이 있었던거야?",42,FALSE,,,,
42,e12,,보-보고하지 않은 내용이기에 발설할 수 없습니다!,43,FALSE,,,,
43,sally,,그놈의 샌님 같은 태도는 여전하네.,44,FALSE,,,,
44,e12,,그러니까.. 그..저는 순찰 임무 중에 잠시 들렀을 뿐…,45,FALSE,,,,
45,sally,,"<b>내가 저놈을 쐈고, 치료해 준 후 술 한잔했어.</b> 됐어?",46,FALSE,,,,
46,f72,,오. <b>뭐라고? @#$%!</b> 도대체 무슨 일이 있었던거야?,47,FALSE,,,,
47,f72,,바텐더! 이런 재미있는 일이 있었는데 나한테 비밀로 했던거야? 섭섭한걸.,48,FALSE,,,,
48,shaun,,저는 손님들의 사생활을 존중할 뿐입니다.,49,FALSE,,,,
49,e12,,이-이런저런 <b>가치관의 재정립</b> 시간을 가졌습니다.,50,FALSE,,,,
50,f72,,<b>가치관의 재정립?</b> 너 진짜 이상한 거라도 주워 먹었어?,51,FALSE,,,,
51,e12,,이 펍이 마냥 나쁜 곳이 아닐지도 모른다는 생각이 들었을 뿐입니다.,52,FALSE,,,,
52,e12,,아직은… 생각이 정리되지 완전히 않았지만요.,53,FALSE,,,,
53,e12,,그래서 이 펍에 다시 왔습니다. 이 펍에 올때마다 <b>이상한 일들</b>이 일어났으니까요.,54,FALSE,,,,
54,sally,,"<b>이상한 일</b>이라. 부패 경찰에, 범죄자에, 신참 꼬맹이라니. 이상하긴 하지.",55,FALSE,,,,
55,e12,,꼬맹이가 아닙니다! 어린애 취급은 이제 그만둬주십시오!,56,FALSE,,,,
56,e12,,"음…아무튼. 바텐더, 보통 펍에 앉으면 무슨 이야기를 합니까?",57,FALSE,,,,
57,shaun,,어떤 이야기던 좋습니다. 정해진 규칙같은건 없어요.,58,FALSE,,,,
58,shaun,,<b>의미없는 수다</b>부터 <b>도넛모양 행성이 실존하는지에 대한 토론<b>이 벌어지기도 한답니다.,59,FALSE,,,,
59,f72,,도넛모양 행성은 좀 멋진걸.,60,FALSE,,,,
