#META,,,,,,,,,,,
episodeId,episodeTitle,firstNodeId,episodeType,mandatorySlot,chapterId,,,,,,
BigFish,거물,0,Mandatory,AfterBusiness,Sector0,,,,,,
,,,,,,,,,,,
#TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
MinDay,5,,,,,,,,,,
,,,,,,,,,,,
#PLAY_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
,,,,,,,,,,,
#SELECT_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,selectFlag,selectText,revealConditionType,revealConditionValue,hiddenText,,,,,
,,,,,,,,,,,
#SELECT_CHARS,,,,,,,,,,,
selectFlag,isHidden,characterName,,,,,,,,,
,,,,,,,,,,,
#OPENING_CHARS,,,,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,,,,
bigFish,mid,0,,,,,,,,,
,,,,,,,,,,,
#BOARD,,,,,,,,,,,
episodeDescription,iconNameBoard,iconNameArchive,,,,,,,,,
,,,,,,,,,,,
#BOARD_CHARS,,,,,,,,,,,
isHidden,characterName,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#NODES,,,,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,craftingOrderTarget,bgmCommand,bgmClipName,sfxCommand,sfxClipName
0,bigFish,???,"흠, 소문대로 분위기는 괜찮군.",1,FALSE,,,,,play,sfx_come_in
1,shaun,,어서 오십시… 어…,2,FALSE,,,,,,
2,bigFish,???,"하하, 그렇게 굳어있을 것 없네, 젊은 바텐더. 사람 잡아먹으러 온 건 아니니까.",3,FALSE,,,,,,
3,shaun,,"아, 죄송합니다 손님. 늦은 시간에 찾아주셔서 놀랐을 뿐입니다. 편하신 자리에 앉으시죠.",4,FALSE,,,,,,
4,bigFish,???,듣던 대로 배짱이 아주 없지는 않군. 선대 영감의 장례를 치렀다는 소식은 들었네.,5,FALSE,,,,,,
5,shaun,,… 손님께선 아버지와 알던 사이셨나요?,6,FALSE,,,,,,
6,bigFish,???,"‘알았다’기보다는, 그저 그 노인장이 빚어내던 술을 퍽 좋아했지. <b>우리</b>에겐그런 술을 기회가 많지 않거든.",7,FALSE,,,,,,
7,shaun,,<b>우리</b>라면… 손님께서는 여기 9번가 밖에서 오셨나요?,8,FALSE,,,,,,
8,bigFish,,"이런, 내 소개가 늦었군. 그냥 <b>빅 피쉬</b>라고 불러.",9,FALSE,,,,,,
9,bigFish,,"거창한 이름이지? 그저 그 시궁창 바닥에서 조금 오래 살아남았을 뿐인데, 어느새 그렇게 불리고 있더군.",10,FALSE,,,,,,
10,bigFish,,"그래, 9번가 밖.<b> 5번가</b>에서 왔지. 빛이 닿지 않는 곳이라 다들 냄새나는 피라미들만 사는 줄 알지만…",11,FALSE,,,,,,
11,bigFish,,"글쎄, 그 어둠 속에서도 제법 굵직한 거물들이 헤엄치고 있는 법이라네.",12,FALSE,,,,,,
12,shaun,,5번가… 이야기로는 들어봤지만 실제로 그곳에서 오신 손님은 처음입니다.,13,FALSE,,,,,,
13,bigFish,,"자, 잡담은 이쯤 하고. 먼 길을 걸어왔으니 목을 좀 축이고 싶군.",14,FALSE,,,,,,
14,shaun,,"물론입니다. 어떤 삶을 살아오셨건, 슬런챠에선 모두가 손님입니다.",15,FALSE,,,,,,
15,bigFish,,거친 밤에 어울리는 <b>고급스러운 </b>걸로 한 잔 주겠나? 겉치레만 번지르르한 싸구려는 사양하네,16,FALSE,,,,,,
16,,,,,TRUE,bf0_bf,고급스러운,,,,
17_1_1,bigFish,,아주 훌륭해. 목구멍을 타고 넘어가는 이 묵직한 온도… 합격일세.,17_1_2,FALSE,,,,,,
17_1_2,bigFish,,솜씨가 제법이군. 팁일세. 자네 펍은 앞으로 종종 들르게 될 것 같아. ,17_1_3,FALSE,,,,,,
17_1_3,shaun,,ㅅ-손님? 이렇게 큰 돈을…,17_1_4,FALSE,,,,,,
17_1_4,bigFish,,"자네의 가치를 증명했으니, 이정도 쯤이야. ",19_1_1,FALSE,,,,,,
17_2_1,bigFish,,내가 주문한 무게감과는 조금 거리가 있군.,17_2_2,FALSE,,,,,,
17_2_2,bigFish,,"젊은 친구, 5번가의 거물에게 잘못된 잔을 내미는 건 꽤 위험한 버릇이라네. ",17_2_3,FALSE,,,,,,
17_2_3,shaun,,ㅈ-죄송합니다! 다시 만들어 드리겠습니다!,17_2_4,FALSE,,,,,,
17_2_4,bigFish,,아직 물려받은 무게를 감당하기엔 손이 덜 여문 모양이군.,17_2_5,FALSE,,,,,,
17_2_5,bigFish,,"오늘은 그냥 넘어가겠지만, 다음은 없어.",19_2_1,FALSE,,,,,,
17_3_1,bigFish,,"흠, 맛의 균형은 나쁘지 않으나… 온도가 내 취향과는 살짝 어긋나는군.",17_3_2,FALSE,,,,,,
17_3_2,shaun,,ㅈ-죄송합니다! 다시 만들어 드리겠습니다!,17_3_3,FALSE,,,,,,
17_3_3,bigFish,,"뭐, 그래도 젊은 바텐더의 정성을 봐서 이번엔 기분 좋게 비워주지.",19_2_1,FALSE,,,,,,
17_4_1,bigFish,,"흠, 맛의 균형은 나쁘지 않으나… 잔이 내 취향과는 살짝 어긋나는군.",17_4_2,FALSE,,,,,,
17_4_2,shaun,,ㅈ-죄송합니다! 다시 만들어 드리겠습니다!,17_4_3,FALSE,,,,,,
17_4_3,bigFish,,"뭐, 그래도 젊은 바텐더의 정성을 봐서 이번엔 기분 좋게 비워주지.",19_2_1,FALSE,,,,,,
17_5_1,bigFish,,"흠, 맛의 균형은 나쁘지 않으나… 잔과 온도가 내 취향과는 살짝 어긋나는군.",17_5_2,FALSE,,,,,,
17_5_2,shaun,,ㅈ-죄송합니다! 다시 만들어 드리겠습니다!,17_5_3,FALSE,,,,,,
17_5_3,bigFish,,"뭐, 그래도 젊은 바텐더의 정성을 봐서 이번엔 기분 좋게 비워주지.",19_2_1,FALSE,,,,,,
19_1_1,bigFish,,"좋아, 밤이 늦었군. 이만 가봐야겠어.",19_1_2,FALSE,,,,,,
19_1_2,shaun,,벌써 일어나시게요?,19_1_3,FALSE,,,,,,
19_1_3,bigFish,,바쁜 몸이라서 말이지. 언젠가 자네도 그 좁은 카운터 너머의 세상을 제대로 마주해야 할 날이 올 걸세.,19_1_4,FALSE,,,,,,
19_1_4,bigFish,,<b>5번가</b>의 그림자는 생각보다 자네 펍과 가까이 닿아 있으니.,19_1_5,FALSE,,,,,,
19_1_5,shaun,,"…조심해서 들어가십시오, 손님.",19_1_6,FALSE,,,,,,
19_1_6,bigFish,,"하하, 걱정 말게. 다음에 올 때도 오늘처럼 맛 좋은 술을 기대하지, 오도넬.",19_1_7,FALSE,,,,,,
19_1_7,shaun,,빅 피쉬라. 정말이지 보통 손님은 아니었어.,,FALSE,,,,,,
19_2_1,bigFish,,"이런, 밤이 늦었군. 이만 가봐야겠어.",19_2_2,FALSE,,,,,,
19_2_2,shaun,,벌써 일어나시게요?,19_2_3,FALSE,,,,,,
19_2_3,bigFish,,바쁜 몸이라서 말이지. 언젠가 자네도 그 좁은 카운터 너머의 세상을 제대로 마주해야 할 날이 올 걸세.,19_2_4,FALSE,,,,,,
19_2_4,bigFish,,<b>5번가</b>의 그림자는 생각보다 자네 펍과 가까이 닿아 있으니.,19_2_5,FALSE,,,,,,
19_2_5,shaun,,"…조심해서 들어가십시오, 손님.",19_2_6,FALSE,,,,,,
19_2_6,bigFish,,"걱정 말게. 다음에 올 때는 오늘보다는 나은 실력을 기대하지, 오도넬.",19_2_7,FALSE,,,,,,
19_2_7,shaun,,빅 피쉬라. 정말이지 보통 손님은 아니었어.,,FALSE,,,,,,
,,,,,,,,,,,
#NODE_CRAFTING_BRANCHES,,,,,,,,,,,
nodeId,result,nextNodeId,flag,varChanges,,,,,,,
16,Good,17_1_1,,,,,,,,,
16,Bad,17_2_1,,,,,,,,,
16,MidIce,17_3_1,,,,,,,,,
16,MidGlass,17_4_1,,,,,,,,,
16,MidIceGlass,17_5_1,,,,,,,,,
16,MidWrongMenu,17_2_1,,,,,,,,,
,,,,,,,,,,,
#NODE_CHARS,,,,,,,,,,,
nodeId,characterKey,expressionKey,slotIndex,,,,,,,,
0,bigFish,mid,0,,,,,,,,
1,bigFish,mid,0,,,,,,,,
2,bigFish,good,0,,,,,,,,
3,bigFish,good,0,,,,,,,,
4,bigFish,mid,0,,,,,,,,
5,bigFish,mid,0,,,,,,,,
6,bigFish,good,0,,,,,,,,
7,bigFish,good,0,,,,,,,,
8,bigFish,mid,0,,,,,,,,
9,bigFish,mid,0,,,,,,,,
10,bigFish,mid,0,,,,,,,,
11,bigFish,good,0,,,,,,,,
12,bigFish,mid,0,,,,,,,,
13,bigFish,mid,0,,,,,,,,
14,bigFish,good,0,,,,,,,,
15,bigFish,mid,0,,,,,,,,
16,bigFish,mid,0,,,,,,,,
17_1_1,bigFish,good,0,,,,,,,,
17_1_2,bigFish,good,0,,,,,,,,
17_1_3,bigFish,good,0,,,,,,,,
17_1_4,bigFish,good,0,,,,,,,,
17_2_1,bigFish,bad,0,,,,,,,,
17_2_2,bigFish,bad,0,,,,,,,,
17_2_3,bigFish,bad,0,,,,,,,,
17_2_4,bigFish,bad,0,,,,,,,,
17_2_5,bigFish,mid,0,,,,,,,,
17_3_1,bigFish,bad,0,,,,,,,,
17_3_2,bigFish,bad,0,,,,,,,,
17_3_3,bigFish,mid,0,,,,,,,,
17_4_1,bigFish,bad,0,,,,,,,,
17_4_2,bigFish,bad,0,,,,,,,,
17_4_3,bigFish,mid,0,,,,,,,,
17_5_1,bigFish,bad,0,,,,,,,,
17_5_2,bigFish,bad,0,,,,,,,,
17_5_3,bigFish,mid,0,,,,,,,,
19_1_1,bigFish,mid,0,,,,,,,,
19_1_2,bigFish,mid,0,,,,,,,,
19_1_3,bigFish,mid,0,,,,,,,,
19_1_4,bigFish,mid,0,,,,,,,,
19_1_5,bigFish,mid,0,,,,,,,,
19_1_6,bigFish,good,0,,,,,,,,
19_2_1,bigFish,mid,0,,,,,,,,
19_2_2,bigFish,mid,0,,,,,,,,
19_2_3,bigFish,mid,0,,,,,,,,
19_2_4,bigFish,mid,0,,,,,,,,
19_2_5,bigFish,mid,0,,,,,,,,
19_2_6,bigFish,bad,0,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#CHOICES,,,,,,,,,,,
nodeId,choiceIndex,buttonText,nextNodeId,setFlags,clearFlags,varChanges,,,,,
,,,,,,,,,,,
#NODE_BRANCHES,,,,,,,,,,,
nodeId,requiredAllFlags,requiredAnyFlags,nextNodeId,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#NODE_VAR_BRANCHES,,,,,,,,,,,
nodeId,varName,op,threshold,nextNodeId,,,,,,,
