#META,,,,,,,,,,,
episodeId,episodeTitle,firstNodeId,episodeType,mandatorySlot,chapterId,,,,,,
LocalClusterExpress,국부 은하 물류 특급,0,Mandatory,BeforeBusiness,Sector0,,,,,,
,,,,,,,,,,,
#TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
MinDay,3,,,,,,,,,,
,,,,,,,,,,,
#PLAY_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
,,,,,,,,,,,
#SELECT_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,selectFlag,selectText,revealConditionType,revealConditionValue,hiddenText,,,,,
,,,,,,,,,,,
#SELECT_CHARS,,,,,,,,,,,
selectFlag,isHidden,characterName,,,,,,,,,
,,,,,,,,,,,
#OPENING_CHARS,,,,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#BOARD,,,,,,,,,,,
episodeDescription,iconNameBoard,iconNameArchive,,,,,,,,,
,,,,,,,,,,,
#BOARD_CHARS,,,,,,,,,,,
isHidden,characterName,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#NODES,,,,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,craftingOrderTarget,bgmCommand,bgmClipName,sfxCommand,sfxClipName
0,n8,???,<b>빠르게! 안전하게! 변함없이! </b>안녕하세요오-!,1,FALSE,,,,,play,sfx_come_in
1,n8,,배송원 <b>N8</b>입니다! 편하게 <b>네이트</b>라고 불러주세요-!,2,FALSE,,,,,,
2,shaun,,좋은 밤입니다… 손님?,3,FALSE,,,,,,
3,n8,,오! 난 손님이 아니야. 빨리 운송장에 서명이나 해줘. <b>찰리.</b>,4,FALSE,,,,,,
4,shaun,,"음… 죄송하지만, 저를 다른 분과 착각하신 것 같아요. 아니면 번지수를 잘못 짚으셨거나요.",5,FALSE,,,,,,
5,n8,,무슨 소리야? 네가 <b>찰리</b>가 아니면 이 <b>배송품</b>은 누구거란 말이야!,6,FALSE,,,,,,
6,n8,,이것 봐! 9번가 <b>53-1</b>. 수령자 <b>찰리 </b>라고 똑똑히 적혀있잖아!,7,FALSE,,,,,,
7,shaun,,53번지는 이곳 건너편 입니다.,8,FALSE,,,,,,
8,n8,,오. 이런.,9,FALSE,,,,,,
9,n8,,이런! 진짜 잘못 찾아왔잖아! 그런건 일찍좀 말하라고!,10,FALSE,,,play,Ep_silly,,
10,n8,,내 완벽한 배송 전적에 오점이 남게 생겼잖아! 어쩌면 좋지?!,11,FALSE,,,,,,
11,shaun,,음… 최소한 제가 해드릴 수 있는건 없는것 같군요.,12,FALSE,,,,,,
12,n8,,좋은 생각이 났어! 당신! 지금 잠깐만 <b>찰리</b>로 살아주겠어?,13,FALSE,,,,,,
13,n8,,대신 이 배송품은 그냥 줄게! 돈이라면 <b>진짜 찰리</b>가 냈을테니까!,14,FALSE,,,,,,
14,shaun,,"처음보는 사람이 건네는 남의 물건을 받는건, 확실히 좋은 생각으로 들리지는 않는군요.",15,FALSE,,,,,,
15,n8,,"처음본다니, 우리 회사는 알거 아니야? <b>국부 은하 물류 특급! LCE!</b>",16,FALSE,,,,,,
16,shaun,,LCE…? 재고 구매할때 몇번 본것 같긴 하군요.,17,FALSE,,,,,,
17,n8,,그래! 바로 그 회사야! 국부은하의 모든 물류는 우리 회사가 관리하지.,18,FALSE,,,,,,
18,n8,,더불어 지금처럼 <b>특급 배송</b> 서비스도 제공중이라고!,19,FALSE,,,,,,
