#META,,,,,,,,,,#META,,,,
episodeId,episodeTitle,firstNodeId,episodeType,mandatorySlot,chapterId,,,,,,,,,
StrangeCoin_0,이상한 동전 0부,0,Encounter,,Sector0,,,,,,,,,
,,,,,,,,,,,,,,
#TRIGGER,,,,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,,,,
MinDay,5,,, ,,,,,,,,,,
,,, ,,,,,,,,,,,
#PLAY_TRIGGER,,,,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,,,,
,,,,,,,,,,,,,,
#SELECT_TRIGGER,,,,,,,,,,,,,,
conditionType,conditionValue,selectFlag,selectText,revealConditionType,revealConditionValue,hiddenText,,,,,,,,
,,,,,,,,,,,,,,
#SELECT_CHARS,,,,,,,,,,,,,,
selectFlag,isHidden,characterName,,,,,,,,,,,,
,,,,,,,,,,,,,,
#OPENING_CHARS,,,,,,,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#BOARD,,,,,,,,,,,,,,
episodeDescription,iconNameBoard,iconNameArchive,,,,,,,,,,,,
,,,,,,,,,,,,,,
#BOARD_CHARS,,,,,,,,,,,,,,
isHidden,characterName,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#NODES,,,,,,,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,craftingOrderTarget,bgmCommand,bgmClipName,sfxCommand,sfxClipName,craftingPaymentEnabled,craftingPaymentCurrency,craftingPaymentMultiplier
0,f72,???,흠..크흠…,1,FALSE,,,,,,,,,
1,f72,???,(은밀히 수상한 화폐를 건네며) 여기 <b>한여름의 나낭나</b> 하나.,2,FALSE,,,,,,,,,
2,shaun,,죄송합니다 손님. 저희는 공식 크레딧만 받습니다만…,3,FALSE,,,,,,,,,
3,f72,???,순진한 바텐더 씨는 경찰 무서운 줄 모르는군!,4,FALSE,,,,,,,,,
4,f72,???,영업 정지되고 싶지 않으면 <u>당장 술 내오는 게 좋을거야!</u>,5,FALSE,,,,,,,,,
5,,,,,TRUE,sc0_f72,rec_1006,,,,,TRUE,StrangeCoin,1
5_1_1,f72,???,소문대로 꽤 괜찮군.,5_1_2,FALSE,,,,,,,,,
5_1_2,f72,???,<b>5번가</b>의 싸구려 <b>밀주</b>랑은 차원이 달라.,5_1_3,FALSE,,,,,,,,,
5_1_3,f72,???,아.,5_1_4,FALSE,,,,,,,,,
5_1_4,f72,???,밀주 얘기는 비밀이야. 알겠지?,,FALSE,,,,,,,,,
5_2_1,f72,???,이봐. 이거 내가 주문한거 맞아?,5_2_2,FALSE,,,,,,,,,
5_2_2,f72,???,여기라고 <b>5번가</b>랑 다를게 없군.,5_2_3,FALSE,,,,,,,,,
5_2_3,f72,???,아.,5_2_4,FALSE,,,,,,,,,
5_2_4,f72,???,방금 이야기는 잊어!,,FALSE,,,,,,,,,
5_3_1,f72,???,이거… 원래 얼음 없이 나오던가?,5_3_2,FALSE,,,,,,,,,
5_3_2,f72,???,"쳇, <b>5번가</b>랑 그닥 다를게 없군.",5_3_3,FALSE,,,,,,,,,
5_3_3,f72,???,아.,5_3_4,FALSE,,,,,,,,,
5_3_4,f72,???,방금 이야기는 잊어!,,FALSE,,,,,,,,,
5_4_1,f72,???,"이봐, 잔이 이것밖에 없었나?",5_4_2,FALSE,,,,,,,,,
5_4_2,f72,???,"쳇, <b>5번가</b>랑 그닥 다를게 없군.",5_4_3,FALSE,,,,,,,,,
5_4_3,f72,???,아.,5_4_4,FALSE,,,,,,,,,
5_4_4,f72,???,방금 이야기는 잊어!,,FALSE,,,,,,,,,
5_5_1,f72,???,이거… 원래 얼음 없이 나오던가?,5_5_2,FALSE,,,,,,,,,
5_5_2,f72,???,게다가 잔 선택도 엉망이잖아.,5_5_3,FALSE,,,,,,,,,
5_5_3,f72,???,"쳇, <b>5번가</b>랑 그닥 다를게 없군.",5_5_4,FALSE,,,,,,,,,
5_5_4,f72,???,아.,5_5_5,FALSE,,,,,,,,,
5_5_5,f72,???,방금 이야기는 잊어!,,FALSE,,,,,,,,,
5_6_1,f72,???,이봐. 이거 내가 주문한거 맞아?,5_6_2,FALSE,,,,,,,,,
5_6_2,f72,???,여기라고 <b>5번가</b>랑 다를게 없군.,5_6_3,FALSE,,,,,,,,,
5_6_3,f72,???,아.,5_6_4,FALSE,,,,,,,,,
5_6_4,f72,???,방금 이야기는 잊어!,,,,,,,,,,,
,,,,,,,,,,,,,,
#NODE_CRAFTING_BRANCHES,,,,,,,,,,,,,,
nodeId,result,nextNodeId,flag,varChanges,,,,,,,,,,
5,Good,5_1_1,sc0_true,,,,,,,,,,,
5,Bad,5_2_1,sc0_false,,,,,,,,,,,
5,MidIce,5_3_1,sc0_false,,,,,,,,,,,
5,MidGlass,5_4_1,sc0_false,,,,,,,,,,,
5,MidIceGlass,5_5_1,sc0_false,,,,,,,,,,,
5,MidWrongMenu,5_6_1,sc0_false,,,,,,,,,,,
,,,,,,,,,,,,,,
#NODE_CHARS,,,,,,,,,,,,,,
nodeId,characterKey,expressionKey,slotIndex,,,,,,,,,,,
0,f72,annoy,0,,,,,,,,,,,
1,f72,mid,0,,,,,,,,,,,
2,f72,mid,0,,,,,,,,,,,
3,f72,annoy,0,,,,,,,,,,,
4,f72,annoy,0,,,,,,,,,,,
5,f72,annoy,0,,,,,,,,,,,
5_1_1,f72,smile,0,,,,,,,,,,,
5_1_2,f72,smile,0,,,,,,,,,,,
5_1_3,f72,frust,0,,,,,,,,,,,
5_1_4,f72,mid,0,,,,,,,,,,,
5_2_1,f72,devas,0,,,,,,,,,,,
5_2_2,f72,devas,0,,,,,,,,,,,
5_2_3,f72,frust,0,,,,,,,,,,,
5_2_4,f72,annoy,0,,,,,,,,,,,
5_3_1,f72,frust,0,,,,,,,,,,,
5_3_2,f72,frust,0,,,,,,,,,,,
5_3_3,f72,frust,0,,,,,,,,,,,
5_3_4,f72,frust,0,,,,,,,,,,,
5_4_1,f72,frust,0,,,,,,,,,,,
5_4_2,f72,annoy,0,,,,,,,,,,,
5_4_3,f72,frust,0,,,,,,,,,,,
5_4_4,f72,frust,0,,,,,,,,,,,
5_5_1,f72,frust,0,,,,,,,,,,,
5_5_2,f72,annoy,0,,,,,,,,,,,
5_5_3,f72,mid,0,,,,,,,,,,,
5_5_4,f72,frust,0,,,,,,,,,,,
5_5_5,f72,frust,0,,,,,,,,,,,
5_6_1,f72,frust,0,,,,,,,,,,,
5_6_2,f72,devas,0,,,,,,,,,,,
5_6_3,f72,frust,0,,,,,,,,,,,
5_6_4,f72,frust,0,,,,,,,,,,,
,,,,,,,,,,,,,,
#CHOICES,,,,,,,,,,,,,,
nodeId,choiceIndex,buttonText,nextNodeId,setFlags,clearFlags,varChanges,,,,,,,,
,,,,,,,,,,,,,,
#NODE_BRANCHES,,,,,,,,,,,,,,
nodeId,requiredAllFlags,requiredAnyFlags,nextNodeId,,,,,,,,,,,
,,,,,,,,,,,,,,
#NODE_VAR_BRANCHES,,,,,,,,,,,,,,
nodeId,varName,op,threshold,nextNodeId,,,,,,,,,,
