#META,,,,,,,,,,,,,,
episodeId,episodeTitle,firstNodeId,episodeType,mandatorySlot,chapterId,,,,,,,,,
StrangeCoin_1,이상한 동전 1부,0,Default,,Sector0,,,,,,,,,
,,,,,,,,,,,,,,
#TRIGGER,,,,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,,,,
PrerequisiteEpisode,StrangeCoin_0,이상한 동전 0 클리어,,,,,,,,,,,,
,,,,,,,,,,,,,,
#PLAY_TRIGGER,,,,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#SELECT_TRIGGER,,,,,,,,,,,,,,
conditionType,conditionValue,selectFlag,selectText,revealConditionType,revealConditionValue,hiddenText,,,,,,,,
,,,,,,,,,,,,,,
#SELECT_CHARS,,,,,,,,,,,,,,
selectFlag,isHidden,characterName,,,,,,,,,,,,
,,,,,,,,,,,,,,
#OPENING_CHARS,,,,,,,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#BOARD,,,,,,,,,,,,,,
episodeDescription,iconNameBoard,iconNameArchive,,,,,,,,,,,,
이 수상한 동전에 관해 물어볼 사람은 경찰 친구인 F54 뿐이다. ,StrangeCoin,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#BOARD_CHARS,,,,,,,,,,,,,,
isHidden,characterName,,,,,,,,,,,,,
FALSE,f54,,,,,,,,,,,,,
FALSE,f72,,,,,,,,,,,,,
TRUE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# SETTLEMENT_REWARDS,,,,,,,,,,,,,,
requiredFlag,amount,label,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#NODES,,,,,,,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,craftingOrderTarget,bgmCommand,bgmClipName,sfxCommand,sfxClipName,craftingPaymentEnabled,craftingPaymentCurrency,craftingPaymentMultiplier
0,f54,,좋은 저녁! 펍은 좀 어때?,1,FALSE,,,play,Ep_main_0,play,sfx_come_in,,,
1,shaun,,어서 와. 한결같지. 다행히도.,2,FALSE,,,,,,,,,
2,f54,,헤헤. 그거 다행이네.,3,FALSE,,,,,,,,,
3,f54,,그나저나 무슨 일로 부른 거야?,4,FALSE,,,,,,,,,
4,shaun,,그게 말이지-,5,FALSE,,,,,,,,,
5,f54,,잠깐! 사람을 불렀으면 뭐라도 내줘야지. <b>바하 온더락</b>으로 한 잔 부탁해!,6,FALSE,,,,,,,,,
6,shaun,,…너 아직 근무 중 아니야?,7,FALSE,,,,,,,,,
7,f54,,상관 없잖아! 한 시간 남았는데 그 사이에 일이라도 터지겠어?,8,FALSE,,,,,,,,,
8,,,,,TRUE,sc1_f54,rec_1019,,,,,,,
8_1_1,f54,,음. 늘 최고라니까,9,FALSE,,,,,,,,,
8_2_1,f54,,이건.. 내가 말한게 아닌것 같은데?,8_2_2,FALSE,,,,,,,,,
8_2_2,shaun,,앗 미안! 다시 만들어줄게,8_2_3,FALSE,,,,,,,,,
8_2_3,f54,,"괜찮아, 오늘은 위스키를 먹을 날이 아니었나보네",9,FALSE,,,,,,,,,
8_3_1,f54,,음. 늘 최고라니까,8_3_2,FALSE,,,,,,,,,
8_3_2,f54,,얼음만 빼먹지 않았다면 말이지.,8_3_3,FALSE,,,,,,,,,
8_3_3,shaun,,"앗 미안, 다시 만들어줄까?",8_3_4,FALSE,,,,,,,,,
8_3_4,f54,,괜찮아. 그래도 위스키는 위스키니까,9,FALSE,,,,,,,,,
8_4_1,f54,,음. 늘 최고라니까,8_4_2,FALSE,,,,,,,,,
8_4_2,f54,,잔 선택만 조금 신경써주면 완벽할 것 같아.,8_4_3,FALSE,,,,,,,,,
8_4_3,shaun,,"앗 미안, 다시 만들어줄까?",8_4_4,FALSE,,,,,,,,,
8_4_4,f54,,괜찮아. 그래도 위스키는 위스키니까,9,FALSE,,,,,,,,,
8_5_1,f54,,"이런, 얼음도 없고, 잔 선택도 꽝인데?",8_5_2,FALSE,,,,,,,,,
8_5_2,shaun,,"앗 미안, 다시 만들어줄까?",8_5_3,FALSE,,,,,,,,,
8_5_3,f54,,괜찮아. 그래도 위스키는 위스키니까,9,FALSE,,,,,,,,,
9,f54,,"그래서 말이야, 무슨 일로 부른 거야? 심각한 일은 아니지?",10,FALSE,,,,,,,,,
10,shaun,,혹시 말이야… 이 <b>동전</b>에 대해서 좀 알아?,11,FALSE,,,stop,Ep_main_0,,,,,
11,shaun,,"웬 경찰 손님이 이 동전으로 술값을 냈는데, 너라면 알 수도 있을것 같아서 말이야",12,FALSE,,,,,,,,,
12,f54,,"그래서, 이걸 받고 술을 내준 거야?",13,FALSE,,,,,,,,,
13,shaun,,워낙 바쁜 시간대여서 이것저것 따질 겨를이 없었어. 게다가 경찰이었다고!,14,FALSE,,,,,,,,,
14,shaun,,거절하면 무슨 짓을 당할지 뻔하니까…,15,FALSE,,,,,,,,,
15,f54,,흠…,16,FALSE,,,,,,,,,
16,f54,,잘 들어. 이건 <b>아무개들</b>이 쓰는 동전이야.,17,FALSE,,,,,,,,,
17,f54,,이름도 없는 5번가 깡패놈들이 쓰는 <b>불법 화폐</b>라고.,18,FALSE,,,,,,,,,
18,f54,,"너야 몰랐겠지만, 이 동전을 받았다는 것만으로도 문제가 될 수 있어.",19,FALSE,,,,,,,,,
19,shaun,,"잠깐, 뭐라고?",20,FALSE,,,,,,,,,
20,f54,,진정해. 난 네 편이니까.,21,FALSE,,,,,,,,,
21,f54,,이런 거야 적당히 내 선에서 처리할 수 있는데 문제는…,22,FALSE,,,,,,,,,
22,shaun,,문제는…?,23,FALSE,,,,,,,,,
23,f72,???,"여어, 바텐더! 아직 영업 안 끝났지?",24,FALSE,,,,,play,sfx_come_in,,,
24,sally,???,...목소리 낮춰. 사람 없는 곳이라며.,25,FALSE,,,,,play,sfx_come_in,,,
25,f72,???,"에이, 셀리. 저번에 왔을 때 괜찮았다니까. 동전도 곧잘 통했다고",26,FALSE,,,,,,,,,
26,f72,???,"바텐더, 저번이랑 같은 걸로..",,FALSE,,,,,,,,,
27_1_1,shaun,,54! 저 남자였어!,27_1_2,FALSE,,,,,,,,,
27_1_2,f72,???,어-어라?,28,FALSE,,,,,,,,,
27_2_1,shaun,,어-어서오세요! 손님?,27_2_2,FALSE,,,,,,,,,
27_2_2,f54,,이봐.,27_2_3,FALSE,,,,,,,,,
27_2_3,f72,???,어-어라?,28,FALSE,,,,,,,,,
28,f54,,코드명 F72. 너 지금 여기서 뭐하는 거야?,29,FALSE,,,,,,,,,
29,f72,,웬만하면 이름으로 불러주지? 자코라고.,30,FALSE,,,,,,,,,
30,f54,,닥쳐. 그것도 규칙 위반이잖아.,31,FALSE,,,,,,,,,
31,shaun,,아는 사람이야?,32,FALSE,,,,,,,,,
32,f54,,5번가에서 뒷돈 받아먹기로 유명한 놈이지.,33,FALSE,,,,,,,,,
33,f72,,54! 그건 오해야! 나는 그냥 술한잔 하러 온것 뿐이라고,34,FALSE,,,,,,,,,
34,sally,???,"이봐, 다른 경찰이 있을 거란 얘기는 없었잖아!",35,FALSE,,,,,,,,,
35,f54,,옆 사람은 또 누구야?,36,FALSE,,,,,,,,,
36,f72,,그냥 길에서 만난 사람일 뿐이야! 아무 관계도 아니라니까?,37,FALSE,,,,,,,,,
