#META,,,,,,,,,,,
episodeId,episodeTitle,firstNodeId,episodeType,mandatorySlot,chapterId,,,,,,
StrangeCoin_2,이상한 동전 2부,0,Default,,Sector0,,,,,,
,,,,,,,,,,,
#TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
PrerequisiteEpisode,StrangeCoin_1,이상한 동전 1 클리어,,,,,,,,,
,,,,,,,,,,,
#PLAY_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#SELECT_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,selectFlag,selectText,revealConditionType,revealConditionValue,hiddenText,,,,,
,,,,,,,,,,,
#SELECT_CHARS,,,,,,,,,,,
selectFlag,isHidden,characterName,,,,,,,,,
,,,,,,,,,,,
#OPENING_CHARS,,,,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#BOARD,,,,,,,,,,,
episodeDescription,iconNameBoard,iconNameArchive,,,,,,,,,
이 매혹적인 동전을 쓰면 5번가 사람들과 엮이게 된다. 저번과 같은 소란이 일어나지 않길 바라며 둘을 펍에 들인다.,Strange Coin,,,,,,,,,,
,,,,,,,,,,,
#BOARD_CHARS,,,,,,,,,,,
isHidden,characterName,,,,,,,,,,
FALSE,f72,,,,,,,,,,
FALSE,sally,,,,,,,,,,
TRUE,,,,,,,,,,,
,,,,,,,,,,,
# SETTLEMENT_REWARDS,,,,,,,,,,,
requiredFlag,amount,label,,,,,,,,,
sc2_1_true,0,한 잔 빚진거다 션. - 자코,,,,,,,,,
sc2_1_false,0,잘 선택했어. - F54,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#NODES,,,,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,craftingOrderTarget,bgmCommand,bgmClipName,sfxCommand,sfxClipName,craftingOrderType
0,shaun,,어서오세요. 손님.,1,FALSE,,,,,play,sfx_come_in
1,shaun,,오늘 하루는 어떠셨-,,FALSE,,,play,Ep_main_0,,
2_1_1,sally,,…좋은 저녁이야 바텐더,2_1_2,FALSE,,,,,,
