#META,,,,,,,,,,,
episodeId,episodeTitle,firstNodeId,episodeType,mandatorySlot,chapterId,,,,,,
TheLittles_3,아이들 3부,0,Default,,Sector0,,,,,,
,,,,,,,,,,,
#TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
PrerequisiteEpisode,TheLittles_2,아이들 2부 클리어,,,,,,,,,
,,,,,,,,,,,
#PLAY_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
,,,,,,,,,,,
#SELECT_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,selectFlag,selectText,revealConditionType,revealConditionValue,hiddenText,,,,,
RequiredFlag,sc2_1_true,tl3_sally_true,셀리의 도움 받기,RequiredFlag,sc2_1_true,카사를 도와줄 사람 찾기,,,,,
,,,,,,,,,,,
#SELECT_CHARS,,,,,,,,,,,
selectFlag,isHidden,characterName,,,,,,,,,
tl3_sally_true,FALSE,eliud,,,,,,,,,
tl3_sally_true,FALSE,cartha,,,,,,,,,
tl3_sally_true,FALSE,sally,,,,,,,,,
,,,,,,,,,,,
#OPENING_CHARS,,,,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#BOARD,,,,,,,,,,,
episodeDescription,iconNameBoard,iconNameArchive,,,,,,,,,
상처투성이로 찾아온 카사. 아이에게는 보호자가 필요하다.,TheLittles,,,,,,,,,,
,,,,,,,,,,,
#BOARD_CHARS,,,,,,,,,,,
isHidden,characterName,,,,,,,,,,
FALSE,eliud,,,,,,,,,,
FALSE,cartha,,,,,,,,,,
TRUE,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#NODES,,,,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,craftingOrderTarget,bgmCommand,bgmClipName,sfxCommand,sfxClipName
0,eliud,,오빠! 안녕!,1,FALSE,,,play,Ep_main_0,play,sfx_come_in
1,shaun,,왠일이야? 오늘은 그 허술한 변장은 안하고 왔네.,2,FALSE,,,,,,
2,eliud,,한번도 안 먹혔잖아,3,FALSE,,,,,,
3,shaun,,헤에- 몇번 더 하면 한번쯤은 속아줄 지도 모르잖아?,4,FALSE,,,,,,
4,eliud,,진짜?,5,FALSE,,,,,,
5,shaun,,아니.,6,FALSE,,,,,,
6,eliud,,그래도 이제 한달만 기다리면 나 생일이야! 진짜 어른이 된다니까?,7,FALSE,,,,,,
7,eliud,,그땐 제대로 마시러 올 테니까 기대해! 오빠!,8,FALSE,,,,,,
8,shaun,,벌써 시간이 그렇게 흘렀나?,9,FALSE,,,,,,
9,shaun,,",,,",10,FALSE,,,,,,
10,shaun,,"아쉽지만, 난 그때 여기 없을지도 몰라.",11,FALSE,,,,,,
11,eliud,,응? 그게 무슨 말이야?,12,FALSE,,,,,,
12,eliud,,"오빠, 어디론가 떠나야해? 이 펍은 어쩌고?",13,FALSE,,,,,,
13,shaun,,나도 물려받은 게 있거든.,14,FALSE,,,,,,
14,eliud,,…,15,FALSE,,,,,,
15,shaun,,뭐라도 내어줄까? 오늘도 <b>한여름의 주스 </b>어때?,16,FALSE,,,,,,
16,eliud,,응. 좋아!,17,FALSE,,,,,,
17,,,,,TRUE,tl3_eliud,rec_1007,,,,
18_1_1,eliud,,역시 이 맛이지! 술은 아니지만 인정해 줄게.,18_1_2,FALSE,,,,,,
18_1_2,eliud,,"그래, 맛있게 마셔라.",19,FALSE,,,,,,
18_2_1,eliud,,이게 뭐야. 저번이랑 같은 거 맞아?,18_2_2,FALSE,,,,,,
18_2_2,eliud,,"치, 뭐 됐어. ",19,FALSE,,,,,,
18_3_1,eliud,,얼음이 조금 덜 들어간 것 같은데? 그래도 맛은 있네.,19,FALSE,,,,,,
18_4_1,eliud,,잔이 조금 아쉽긴 한데… 맛은 똑같으니까 괜찮지!,19,FALSE,,,,,,
18_5_1,eliud,,얼음도 잔도 묘하지만…달콤하니까 봐준다!,19,FALSE,,,,,,
19,shaun,,정비소 일은 잘 되어가?,20,FALSE,,,,,,
20,eliud,,힘들어 죽겠어. 오늘도 여섯대나 정비했다니까?,21,FALSE,,,,,,
21,eliud,,한번은 실수로 한 손님의 반물질 추진기를 고장내 버렸어… 아빠한테 엄청 혼났는데.,22,FALSE,,,,,,
22,eliud,,아직 아빠를 돕기에는 한참 모자란 거 같아.,,FALSE,,,,,,
23_1_1,shaun,,"걱정마, 때가 되면 너도 준비가 될 거야.",23_1_2,FALSE,,,,,,
23_1_2,eliud,,그럴까? 그러면 좋겠다.,24,FALSE,,,,,,
23_2_1,shaun,,"걱정마, 때가 되면 너도 너만의 길을 찾게 될 거야.",23_2_2,FALSE,,,,,,
23_2_2,eliud,,나만의 길? 그럴까? 그러면 좋겠다.,24,FALSE,,,,,,
24,shaun,,"앗, 잠시만. 손님오셨다. 어서오세요-",25,FALSE,,,,,play,sfx_come_in
25,cartha,,…안녕.,26,FALSE,,,,,,
26,shaun,,카사…?,27,FALSE,,,,,,
27,eliud,,오! 카사! 오랜만이…,28,FALSE,,,,,,
28,eliud,,카사! 무슨 일이야? 어디서 넘어졌어?,29,FALSE,,,,,,
29,cartha,,아니 그냥…별 일 아니야.,30,FALSE,,,,,,
30,eliud,,별 일 아니기는! 얼굴이 멍 투성이인데!,31,FALSE,,,,,,
31,eliud,,누구랑 싸웠어? 5번가 사람들?,32,FALSE,,,,,,
32,cartha,,그냥…여기 조금만 있고 싶어.,33,FALSE,,,,,,
33,shaun,,"원하는 만큼 있어도 괜찮아, 카사.",34,FALSE,,,,,,
34,cartha,,집으로 돌아가기 싫어. …이제 어떡하지?,,FALSE,,,,,,
35_1_1,shaun,,우리가 도와줄 수 있는게 있을까?,36,FALSE,,,,,,
35_2_1,shaun,,무슨 일이 있었는지 말해줄 수 있겠니?,36,FALSE,,,,,,
36,cartha,,<b>엄마가 무서워.</b>,37,FALSE,,,,,,
37,eliud,,엄마가? 엄마가… 때리신 거야?,38,FALSE,,,,,,
38,cartha,,"미안, 지금은 말하고 싶지 않아.",39,FALSE,,,,,,
39,shaun,,…그래. 말하기 힘든 건 억지로 꺼내지 않아도 돼.,40,FALSE,,,,,,
40,shaun,,일단 <b>알콜 없는 포근한 거</b>라도 내어줄게. 잠시만 기다려줘.,41,FALSE,,,,,,
41,,,,,TRUE,tl3_cartha,rec_1007,,,,
42_1_1,shaun,,"자, 마셔봐. 마음을 조금이나마 편안하게 해줄거야.",42_1_2,FALSE,,,,,,
42_1_2,cartha,,"…고마워, 션 오빠.",42_1_3,FALSE,,,,,,
42_1_3,cartha,,"따뜻하다… 집에서 나는 타버린 향 냄새도, 독한 밀주 냄새도 안 나.",43,FALSE,,,,,,
42_2_1,shaun,,": 자, 마셔봐. 마음을 조금이나마 편안하게 해줄거야.",42_2_2,FALSE,,,,,,
42_2_2,cartha,,"음…고마워, 션 오빠.",43,FALSE,,,,,,
43,eliud,,카사… 이제 좀 괜찮아? 대체 집에서 무슨 일이 있었던 거야?,44,FALSE,,,,,,
44,cartha,,엄마가… 또 이상한 신내림 잔치를 열었어. 5번가 어른들이 모여서 독한 술을 마시고…,45,FALSE,,,,,,
45,cartha,,엄마는 나한테 계속 계승을 받아야 한다고 하셨어. 정령의 목소리를 들어야 한다고…,46,FALSE,,,,,,
46,cartha,,"내가 못 하겠다고, 무섭다고 하니까… 엄마가 술병을 던지셨어. 날 어른으로 만들어야 한다면서…",47,FALSE,,,,,,
47,eliud,,뭐라고!? 진짜 너무한 거 아니야!? 자기 자식한테 어떻게 그래!,48_2_1,FALSE,,,,,,
48_1_1,sally,,...좋은 밤이야.,48_1_1_1_1,FALSE,,,,,,
48_1_1_1_1,sally,,"여긴 늘 시끌벅적하군, 바텐더.",48_1_1_1_2,FALSE,,,,,,
48_1_1_1_2,shaun,,"앗, 좋은 밤이에요. 셀리 씨.",48_1_1_1_3,FALSE,,,,,,
48_1_1_1_3,sally,,표정이 왜 그래? 이번엔 조용히 술만 마시러 온거니까 걱정하지 말라고.,48_1_1_1_4,FALSE,,,,,,
48_1_1_1_4,sally,,…이 꼬마들은 뭐야? 아이들한테도 술을 파는 줄은 몰랐는데.,48_1_1_1_5,FALSE,,,,,,
48_1_1_1_5,eliud,,누구세요..?,48_1_1_1_6,FALSE,,,,,,
48_1_1_1_6,sally,,"알거 없단다, 꼬마야.",48_1_1_1_7,FALSE,,,,,,
48_1_1_1_7,cartha,,피 냄새…5번가 사람…,48_1_1_1_8,FALSE,,,,,,
48_1_1_1_8,sally,,흠. 거기 꼬마. 본적 우리 본 적 있던가?,48_1_1_1_9,FALSE,,,,,,
48_1_1_1_9,sally,,…그 무당 집 딸내미군.,48_1_1_1_10,FALSE,,,,,,
48_1_1_1_10,shaun,,"셀리씨, 카사를 아시나요?",48_1_1_1_11,FALSE,,,,,,
48_1_1_1_11,sally,,나야 5번가라면 꿰고 있으니까. 그 무당 집 이름만 몇 번 들어 봤을 뿐이야.,48_1_1_1_12,FALSE,,,,,,
48_1_1_1_12,eliud,,"저기… 5번가 사람이면 카사에게서 떨어져 주시면 좋겠는데요. 카사에게 나는 피 냄새, 당신 때문 아닌가?",48_1_1_1_13,FALSE,,,,,,
48_1_1_1_13,sally,,초면에 사람을 범인 취급이라. 제법 날카롭네.,48_1_1_1_14,FALSE,,,,,,
48_1_1_1_14,shaun,,"엘리엇, 괜찮아. 셀리 씨는 위험한 분이 아니셔.",48_1_1_1_15,FALSE,,,,,,
48_1_1_1_15,eliud,,아…,48_1_1_1_16,FALSE,,,,,,
48_1_1_1_16,sally,,우선 자리에 앉았으니 뭐라도 시켜야겠지.,48_1_1_1_17,FALSE,,,,,,
48_1_1_1_17,sally,,오늘은 <b>뭔가</b> <b>달큰한</b> 거면 좋겠어.,48_1_1_1_18,FALSE,,,,,,
48_1_1_1_18,shaun,,"네, 바로 준비해드리죠.",49,FALSE,,,,,play,sfx_come_in
48_1_1_2_1,sally,,"여긴 늘 시끌벅적하군, 션.",48_1_1_2_2,FALSE,,,,,,
48_1_1_2_2,shaun,,"앗, 좋은 밤이에요. 셀리 씨.",48_1_1_2_3,FALSE,,,,,,
48_1_1_2_3,sally,,표정이 왜 그래? 이번엔 조용히 술만 마시러 온거니까 걱정하지 말라고.,48_1_1_2_4,FALSE,,,,,,
48_1_1_2_4,sally,,…이 꼬마들은 뭐야? 아이들한테도 술을 파는 줄은 몰랐는데.,48_1_1_2_5,FALSE,,,,,,
48_1_1_2_5,eliud,,누구세요..?,48_1_1_2_6,FALSE,,,,,,
