#META,,,,,,,,,,,
episodeId,episodeTitle,firstNodeId,episodeType,mandatorySlot,chapterId,,,,,,
ToTheEarth,지구로,0,Default,,Sector0,,,,,,
,,,,,,,,,,,
#TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
PrerequisiteEpisode,FathersNote,아버지의 노트 클리어,,,,,,,,,
,,,,,,,,,,,
#PLAY_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
MinMoney,500000,500000원 모으기,,,,,,,,,
,,,,,,,,,,,
#SELECT_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,selectFlag,selectText,revealConditionType,revealConditionValue,hiddenText,,,,,
RequiredFlag,sc_4_2_true,tte_1_1_true,E12의 도움 받기,PrerequisiteEpisode,StrangeCoin_0,???의 도움 받기,,,,,
,,,,,,,,,,,
#SELECT_CHARS,,,,,,,,,,,
selectFlag,isHidden,characterName,,,,,,,,,
tte_1_1_true,FALSE,eric,,,,,,,,,
tte_1_1_true,FALSE,f54,,,,,,,,,
tte_1_1_true,FALSE,sally,,,,,,,,,
tte_1_1_true,FALSE,e12,,,,,,,,,
,,,,,,,,,,,
#OPENING_CHARS,,,,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,,,,
f03,mid,0,,,,,,,,,
,,,,,,,,,,,
#BOARD,,,,,,,,,,,
episodeDescription,iconNameBoard,iconNameArchive,,,,,,,,,
이 수상한 동전에 관해 물어볼 사람은 경찰 친구인 F54 뿐이다. ,ToTheEarth,,,,,,,,,,
,,,,,,,,,,,
#BOARD_CHARS,,,,,,,,,,,
isHidden,characterName,,,,,,,,,,
FALSE,eric,,,,,,,,,,
FALSE,f54,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#NODES,,,,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,craftingOrderTarget,bgmCommand,bgmClipName,sfxCommand,sfxClipName
0,shaun,,"에릭 아저씨, 말씀하셨던 50만 크레딧이에요. 감시망을 피할 추진기 부품값이랑 정비 비용… 전부 채웠습니다.",1,FALSE,,,play,sfx_come_in,,
1,eric,,"하, 기어코 이 거금을 다 모았구나. 고생 많았다, 션.",2,FALSE,,,,,,
2,eric,,펍 하부 추진기랑 은폐 펄스 발생기는 완벽하게 손봐뒀다.,3,FALSE,,,,,,
3,eric,,UPD 놈들이 눈치채지 못하게 화물 컨테이너 폐기 신호로 위장 등록도 마쳤지.,4,FALSE,,,,,,
4,shaun,,"정말 감사해요, 아저씨가 아니었다면 펍을 띄우는 건 꿈도 못 꿨을 거예요.",5,FALSE,,,,,,
5,eric,,"패트릭 녀석의 마지막 꿈인데, 이 늙은이가 끝까지 도와야지.[루트 분기1]",6,FALSE,,,,,,
6,f54,,"야, 션! 불이 켜져 있길래 뛰어왔지! 드디어 오늘인 거야?",7_1_1,FALSE,,,,,,
7_1_1,shaun,,"54, 와줬구나. 응. 개조 작업도 끝났고, 이제 시동만 걸면 돼.",7_1_2,FALSE,,,,,,
7_1_2,f54,,…진짜 가는구나. 매일 퇴근길에 네가 타주는 위스키 한 잔 마시러 오는 게 내 유일한 낙이었는데.,7_1_3,FALSE,,,,,play,sfx_come_in
7_1_3,eric,,"녀석, 섭섭한 티는 혼자 다 내는군.",7_1_4,FALSE,,,,,,
7_1_4,f54,,당연히 섭섭하죠! 내 절친이 펍을 통째로 몰고 우주 저편으로 날아가 버린다는데!,7_1_5,FALSE,,,,,,
7_1_5,shaun,,"54, 너한테는 정말 빚진 게 많아. UPD 단속 피하게 해준 것도, 늘 곁에 있어 준 것도 전부.",7_1_6,FALSE,,,,,,
7_1_6,f54,,빚은 무슨… 난 네가 연합 소각장에 끌려가지 않길 바랐을 뿐이야. 그리고… 네가 들려준 지구 이야기가 좋았거든.,7_1_7,FALSE,,,,,,
7_1_7,eric,,"언제 다시 만날 수 있을지는 아무도 모른다. 우주는 넓고, 지구로 가는 길은 험난할 테니까.",7_1_8,FALSE,,,,,,
7_1_8,shaun,,네. 어쩌면… 다시는 돌아오지 못할지도 몰라요. 하지만 잊지 않을게요. 저를 지켜준 두 분의 마음은요.,7_1_9,FALSE,,,,,,
7_1_9,f54,,"돌아오지 마, 바보야! 지구에 무사히 자리 잡으면 나나 은퇴하고 부르라고!",7_1_10,FALSE,,,,,,
7_1_10,eric,,"무사하기만 하거라, 션. 패트릭의 아들이라면 분명 그 푸른 땅을 밟을 수 있을 게다.",7_1_11,FALSE,,,,,,
7_1_11,shaun,,"네. 떠나보겠습니다. 54 너도, 아저씨도, 건강하세요.",,FALSE,,,,,,
7_2_1,f72,,"이봐-! 출발 준비는 다 끝났어, 바텐더?",7_2_2,FALSE,,,,,play,sfx_come_in
7_2_2,e12,,"늦은 밤에 실례합니다, 션 씨.",7_2_3,FALSE,,,,,play,sfx_come_in
7_2_3,eric,,…응? 5번가 순찰대 녀석들에… 이 어색한 조합은 대체 뭐냐?,7_2_4,FALSE,,,,,,
7_2_4,shaun,,"아, 에릭 아저씨. 여긴… 최근에 펍에서 알게 된 분들이에요.",7_2_5,FALSE,,,,,,
