#META
episodeId,episodeTitle,firstNodeId
StrangeCoin_1,이상한 동전 - 1,222be7dc-ff4c-4d58-b49c-07be7439c88d_0

#TRIGGER
minDay,requiredFlags,blockedFlags,prerequisiteEpisodeIds,requiredVars
0,,,StrangeCoin_0,

#OPENING_CHARS
characterKey,expressionKey,slotIndex
f54,mid,2
,,-1

#NODES
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,nextNodeIdGood,nextNodeIdBad,bgmCommand,bgmClipName,craftingFlagGood,craftingFlagBad,craftingVarChangesGood,craftingVarChangesBad
222be7dc-ff4c-4d58-b49c-07be7439c88d_0,f54,,좋은 저녁! 펍은 좀 어때?,9596ab3d-9f35-4284-8bee-6f195d110979_0,false,,,,Play,Ep_main_0,,,,
9596ab3d-9f35-4284-8bee-6f195d110979_0,shaun,,어서 와. 한결같지. 다행히도.,fbf8e595-bd30-4fda-88c0-3ea0b2507c78_0,false,,,,None,,,,,
fbf8e595-bd30-4fda-88c0-3ea0b2507c78_0,f54,,헤헤. 그거 다행이네.,7aca1869-9630-4f98-9ad0-df1de495bace_0,false,,,,None,,,,,
7aca1869-9630-4f98-9ad0-df1de495bace_0,f54,,<b>5번가</b>에서 일이 있어서 처리하고 오느라 늦었어.,c21ad2df-4367-4afb-aae9-d1cc82c9a6bb_0,false,,,,None,,,,,
c21ad2df-4367-4afb-aae9-d1cc82c9a6bb_0,shaun,,<b>5번가</b>?,9f6462be-723d-4990-bf32-a74a9036d709_0,false,,,,None,,,,,
9f6462be-723d-4990-bf32-a74a9036d709_0,f54,,"응. 너야 펍에만 있어서 모르겠지만, 웬만하면 거긴 가지 마.",ea7ca12a-387e-4666-a599-bf0c88860e72_0,false,,,,None,,,,,
ea7ca12a-387e-4666-a599-bf0c88860e72_0,f54,,"스캐빈저, 약쟁이들 소굴이야. <b>UPD</b>가 5번가를 통째로 쓸어버리지 않는 게 더 이상할 정도야.",4de6ad22-2694-41f5-a242-5083e32b078d_0,false,,,,None,,,,,
4de6ad22-2694-41f5-a242-5083e32b078d_0,f54,,"아무튼, 손님 불렀으면 술 한잔은 내줘야지. 위스키 한잔!",b616d83b-3a3c-4f81-9a90-5c860b8d22af_0,false,,,,None,,,,,
b616d83b-3a3c-4f81-9a90-5c860b8d22af_0,shaun,,너 아직 근무 중인 거 아니야?,00cc4e78-12e9-4c7e-b07f-589376541ad6_0,false,,,,None,,,,,
00cc4e78-12e9-4c7e-b07f-589376541ad6_0,f54,,상관 없잖아! 한 시간 남았는데 그사이에 일이라도 터지겠어?,86aefa76-fc12-4b3c-8d10-8a26ee05b9df_0,false,,,,None,,,,,
86aefa76-fc12-4b3c-8d10-8a26ee05b9df_0,,,,,true,sc1_f54,465d6dca-aea1-4d4a-8a1d-afa96de6351c_0,b0cd8d57-51dd-4236-b664-fec6b238d31d_0,None,,,,,
465d6dca-aea1-4d4a-8a1d-afa96de6351c_0,f54,,음. 늘 최고라니까.,8b28aa07-1051-421e-9822-a097f3d6cd2d_0,false,,,,None,,,,,
b0cd8d57-51dd-4236-b664-fec6b238d31d_0,f54,,흠.. 오늘은 살짝 아쉽네?,8b28aa07-1051-421e-9822-a097f3d6cd2d_0,false,,,,None,,,,,
8b28aa07-1051-421e-9822-a097f3d6cd2d_0,f54,,"그래서 말이야, 무슨 일로 부른 거야? 심각한 일은 아니지?",d76573d6-1884-40c8-ab96-414bb7dc3d0f_0,false,,,,None,,,,,
d76573d6-1884-40c8-ab96-414bb7dc3d0f_0,shaun,,혹시 말이야… 이 <b>동전</b>에 대해서 좀 알아?,55fc5198-2ec7-4b1a-90bf-5ca39cc81ea6_0,false,,,,None,,,,,
55fc5198-2ec7-4b1a-90bf-5ca39cc81ea6_0,f54,,...,3b15a257-44d5-4921-a91c-64f81d1d303e_0,false,,,,None,,,,,
3b15a257-44d5-4921-a91c-64f81d1d303e_0,f54,,이거 어디서 난 거야?,654271f7-88e0-40b8-8567-9378f7bb2c18_0,false,,,,None,,,,,
654271f7-88e0-40b8-8567-9378f7bb2c18_0,shaun,,"얼마 전에 웬 경찰 손님이 이 동전으로 술값을 냈는데, 아무래도 이상해서.",0e2c25af-77b8-4d70-8511-b40ea199187a_0,false,,,,None,,,,,
0e2c25af-77b8-4d70-8511-b40ea199187a_0,f54,,"그래서, 이걸 받고 술을 내준 거야?",5c0f5901-0cf5-4475-afee-34c6af944232_0,false,,,,None,,,,,
5c0f5901-0cf5-4475-afee-34c6af944232_0,shaun,,워낙 바쁜 시간대여서 이것저것 따질 겨를이 없었어. 게다가 경찰이었다고.,46676bda-ef6d-4821-afc0-5f6e8e3c6563_0,false,,,,None,,,,,
