근로자들_루스타,주문 항목,주문 대사,goodJob,midJob-Ice,midJob-glass,midJob-ice_glass,midJob-wrongMenu,badJob
주문 항목 1,번햄 버번 니트,"어이, 여기 번햄 버번 니트 하나. ",바로 이거지! 번햄 니트는 언제 먹어도 맛있다니까,얼음이 들어가면 니트가 아닌데?,"맛은 괜찮은데, 잔 선택이 엉망이군.","잔도 엉망이고, 얼음도 빼먹었잖아.",이건 내가 주문한게 아닌데?,이렇게 만들어서 어쩌자고 가게를 차린거야?
주문 항목 2,번햄 버번 온더락,"어이, 여기 번햄 버번 하나. 온더락으로.","크하핫!
역시 완벽하구만!",원래 여기에 얼음이 안나오던가?,"맛은 괜찮은데, 잔 선택이 엉망이군.","얼음에, 잔에, 아주 엉망진창이구만",이런 주문은 한 적 없는데?,"쯧, 이렇게 내와도 바텐더 할 수 있나?"
주문 항목 3,핫 테디,그거 있잖아. 핫 테디로 하나 줘.,또 올게!,여기에 얼음 넣으라고 배웠어?,이 잔에 내오라고 배웠어?,"얼음에, 잔에, 아주 엉망진창이구만",이런 주문 한 적이 없는데?,이런 실력으로 바텐더를 어떻게 하는거지?
주문 항목 4,,,,,,,,
주문 항목 5,,,,,,,,
주문 항목 6: 맛,씁쓸함_Bitterness,씁쓸한 거 하나 내와. ,실력은 확실하구만,얼음이 이게 아니잖아,잔이 이게 아니잖아,얼음이랑 잔 상태가 영 아닌데?,이런 메뉴를 주문한게 아닌데?,"에이, 괜히왔네"
주문 항목 7: 분위기,,,,,,,,
근로자들_소심한남성,주문 항목,주문 대사,goodJob,midJob-Ice,midJob-glass,midJob-ice_glass,midJob-wrongMenu,badJob
주문 항목 1,한여름의 나낭나,저..저기 한여름의 나낭나...되겠죠?,...맛있어요,"...저기 얼음이 빠졌잖아!
...요","...저기 잔이 틀렸잖아!
...요",...저기 잔도 틀린데다가 얼음도 빠졌어요...,...제가 시킨 메뉴가 아닌데요...,솔...직히 실망이에요...
주문 항목 2,코튼 사워,여기...코튼 사워로요...,또 오고 싶은 맛이네요,"...여기 얼음이 빠졌잖아!
...요","...여기 잔이 틀렸잖아!
...요",...여기 잔도 틀린데다가 얼음도 빠졌어요...,...제가 시킨게 아닌데..그냥 마실게요,...별로였어요...
주문 항목 3,레몬 피즈,레몬 피즈 내와...주세요,...잘 만든 레몬 피즈네요,...얼음 없어요...?,잔이...틀렸...아니에요...,...얼음도 빠지고 잔도 틀린 것 같은데요...,...제가 시킨 메뉴가 아닌데요...,...좀 그렇네요...
주문 항목 4,,,,,,,,
주문 항목 5,,,,,,,,
주문 항목 6: 맛,새콤달콤함_Sweet and Sour,"...새콤달콤한 거 아무거나 한잔!
...주세요",...좋아요,...얼음...잘못 나온거 아니에요?,...잔...잘못 나온거 아니에요?,...잔이랑 얼음...잘못 나온거 아니에요?,...메뉴가...잘못 나온거 아니에요?,하...응원할게요...
주문 항목 7: 분위기,,,,,,,,
근로자들_발렌티노와베리,주문 항목,,,,,,,
