qt,Name,Name_eng,맛 Flavor,대분류,소분류,ABV,Size(ml),가격,가격_이상한 상점,기본 소지 개수,IconName,RGBA
item_1001,열대 주스,Tropical Juice,새콤달콤함_Sweet and Sour,논알콜_Non-Alchole,과일 주스_Fruit Juice,0,1000,500,5,3,icon_tropicalJuice,F26A0FFF
item_1002,실청,Siltrop,달콤함_Sweetness,시럽_Syrup,당류 시럽_Sweetener,0,700,100,1,4,icon_siltrop,FFF0D4B3
item_1003,합성 레몬,Synthetic Lemon,새큼함_Sourness,시럽_Syrup,과일 시럽_Fruit syrup,0,200,300,3,3,icon_syntheticLemon,EBFF00B3
item_1004,슬롭,Slop,무맛_Neutral,시럽_Syrup,기타_ect,0,300,450,5,6,icon_slop,CCBFB7E6
item_1005,나낭나,Nanangna,달큰함_Honeyed,리큐르_liquor,과일 리큐르_Fruit liqueur,20,700,2100,20,4,icon_nanangna,FFA400CC
item_1006,코튼,Cotton,달큰함_Honeyed,리큐르_liquor,견과류 리큐르_Nut liqueur,20,700,2100,20,4,icon_cotton,E35700CC
item_1007,헥타르,Hectar,달큰함_Honeyed,리큐르_liquor,베르뭇_Vermouth,15,700,2100,20,4,icon_hectar,2F050ECC
item_1008,블레스,Bless,달큰함_Honeyed,리큐르_liquor,베르뭇_Vermouth,25,700,2100,20,4,icon_bless,FF000CCC
item_1009,브리즈 보드카,Breeze Vodka,무맛_Neutral,스피릿_Spirit,보드카_Vodka,40,700,3500,35,4,icon_breezeVodka,FFFFFF33
item_1010,조니 독스,Johnny Dogs,씁쓸함_Bitterness,스피릿_Spirit,위스키_Whiskey,40,700,3500,35,4,icon_johnnyDogs,A95107CC
item_1011,번햄 버번,Burnham Bourbon,씁쓸함_Bitterness,스피릿_Spirit,위스키_Whiskey,45,700,3500,35,4,icon_burnhamBourbon,F85405CC
item_1012,바하,Beatha,씁쓸함_Bitterness,스피릿_Spirit,위스키_Whiskey,40,700,3500,35,4,icon_beatha,FF8F26CC
item_1013,탄산 미닛,Minute Fizz,무맛_Neutral,논알콜_Non-Alchole,기타_ect,0,300,150,2,6,icon_minuteFizz,D2FFEE66
item_1014,뜨거운 물,Hot Water,무맛_Neutral,논알콜_Non-Alchole,기타_ect,0,500,1000,10,4,icon_hotWater,FFFFFF33
item_1015,커피 분말,Coffee Powder,씁쓸함_Bitterness,가루,기타_ect,0,200,5000,50,2,icon_coffeePowder,382014FF
item_1016,,,,,,,,,,,,
item_1017,,,,,,,,,,,,
item_1018,,,,,,,,,,,,
item_1019,,,,,,,,,,,,
item_1020,,,,,,,,,,,,
item_1021,,,,,,,,,,,,
item_1022,,,,,,,,,,,,
item_1023,,,,,,,,,,,,
item_1024,,,,,,,,,,,,
item_1025,,,,,,,,,,,,
item_1026,,,,,,,,,,,,
item_1027,,,,,,,,,,,,
item_1028,,,,,,,,,,,,
item_1029,,,,,,,,,,,,
item_1030,,,,,,,,,,,,
item_1031,,,,,,,,,,,,
item_1032,,,,,,,,,,,,
item_1033,,,,,,,,,,,,
item_1034,,,,,,,,,,,,
item_1035,,,,,,,,,,,,
item_1036,,,,,,,,,,,,
item_1037,,,,,,,,,,,,
item_1038,,,,,,,,,,,,
item_1039,,,,,,,,,,,,
item_1040,,,,,,,,,,,,
item_1041,,,,,,,,,,,,
item_1042,,,,,,,,,,,,
item_1043,,,,,,,,,,,,
item_1044,,,,,,,,,,,,
item_1045,,,,,,,,,,,,
item_1046,,,,,,,,,,,,
item_1047,,,,,,,,,,,,
item_1048,,,,,,,,,,,,
item_1049,,,,,,,,,,,,
item_1050,,,,,,,,,,,,
item_1051,,,,,,,,,,,,
item_1052,,,,,,,,,,,,
item_1053,,,,,,,,,,,,
item_1054,,,,,,,,,,,,
item_1055,,,,,,,,,,,,
item_1056,,,,,,,,,,,,
item_1057,,,,,,,,,,,,
item_1058,,,,,,,,,,,,
item_1059,,,,,,,,,,,,
item_1060,,,,,,,,,,,,
item_1061,,,,,,,,,,,,
item_1062,,,,,,,,,,,,
item_1063,,,,,,,,,,,,
item_1064,,,,,,,,,,,,
item_1065,,,,,,,,,,,,
item_1066,,,,,,,,,,,,
item_1067,,,,,,,,,,,,
item_1068,,,,,,,,,,,,
item_1069,,,,,,,,,,,,
item_1070,,,,,,,,,,,,
item_1071,,,,,,,,,,,,
item_1072,,,,,,,,,,,,
item_1073,,,,,,,,,,,,
item_1074,,,,,,,,,,,,
item_1075,,,,,,,,,,,,
item_1076,,,,,,,,,,,,
item_1077,,,,,,,,,,,,
item_1078,,,,,,,,,,,,
item_1079,,,,,,,,,,,,
item_1080,,,,,,,,,,,,
item_1081,,,,,,,,,,,,
item_1082,,,,,,,,,,,,
item_1083,,,,,,,,,,,,
item_1084,,,,,,,,,,,,
item_1085,,,,,,,,,,,,
item_1086,,,,,,,,,,,,
item_1087,,,,,,,,,,,,
item_1088,,,,,,,,,,,,
item_1089,,,,,,,,,,,,
item_1090,,,,,,,,,,,,
item_1091,,,,,,,,,,,,
item_1092,,,,,,,,,,,,
item_1093,,,,,,,,,,,,
item_1094,,,,,,,,,,,,
item_1095,,,,,,,,,,,,
item_1096,,,,,,,,,,,,
item_1097,,,,,,,,,,,,
item_1098,,,,,,,,,,,,
item_1099,,,,,,,,,,,,
