ID,Name,Name_eng,재료 속성 1,재료 속성 2,재료 속성 3,분위기 Mood 1,분위기 Mood 2,맛 Flaver 1,맛 Flaver 2,맛 Flaver 3,제작 방식 Skill,ABV,얼음 유무 Ice,잔 Glass,가격,가격_이상한 상점
rec_1001,번햄 사워,Burnham Sour,당류 시럽_Sweetener,과일 시럽_Fruit syrup,위스키_Whiskey,청량한,,씁쓸함_Bitterness,달콤함_Sweetness,새큼함_Sourness,셰이킹,15,O,락 글라스,307,3
rec_1002,코튼 사워,Cotton Sour,견과류 리큐르_Nut liqueur,과일 시럽_Fruit syrup,,포근한,,달큰함_Honeyed,새큼함_Sourness,,셰이킹,11.4,O,락 글라스,347,3
rec_1003,갓레이디,God Lady,견과류 리큐르_Nut liqueur,보드카_Vodka,,고급스러운,,달콤함_Sweetness,,,스터,30,O,락 글라스,336,3
rec_1004,갓로드,God Lord,견과류 리큐르_Nut liqueur,위스키_Whiskey,,고급스러운,,씁쓸함_Bitterness,달큰함_Honeyed,,셰이킹,30,O,락 글라스,336,3
rec_1005,셰이디,Shady,베르뭇_Vermouth,위스키_Whiskey,,고급스러운,,씁쓸함_Bitterness,달큰함_Honeyed,,스터,28,O,락 글라스,462,3
rec_1006,한여름의 나낭나,Midsummer Nanangna,과일 리큐르_Fruit liqueur,과일 주스_Fruit Juice,,화려한,정열적인,달콤함_Sweetness,새콤달콤함_Sweet and Sour,,셰이킹,5,O,허리케인 글라스,189,3
rec_1007,한여름의 주스,Midsummer Juice,당류 시럽_Sweetener,과일 시럽_Fruit syrup,과일 시럽_Fruit syrup,포근한,,달콤함_Sweetness,새큼함_Sourness,새콤달콤함_Sweet and Sour,셰이킹,0,O,허리케인 글라스,97,3
rec_1008,아이리시 커피,Irish Coffee,당류 시럽_Sweetener,과일 시럽_Fruit syrup,위스키_Whiskey,포근한,,씁쓸함_Bitterness,달콤함_Sweetness,,스터,7.6,X,허리케인 글라스,"1,050.00",10
rec_1009,블랙 커피,Black Coffee,기타_ect,,,포근한,깔끔한,씁쓸함_Bitterness,,,스터,7.8,X,하이볼 글라스,"1,470.00",14
rec_1010,핫 테디,Hot Teddy,위스키_Whiskey,당류 시럽_Sweetener,과일 시럽_Fruit syrup,포근한,,씁쓸함_Bitterness,달콤함_Sweetness,새큼함_Sourness,스터,0,X,허리케인 글라스,727,7
rec_1011,레몬 피즈,Lemon Fizz,당류 시럽_Sweetener,과일 시럽_Fruit syrup,,청량한,,달콤함_Sweetness,새큼함_Sourness,,스터,0,O,하이볼 글라스,136,1
rec_1012,로닌즈,Ronins,베르뭇_Vermouth,,,정열적인,청량한,달큰함_Honeyed,,,스터,7.5,O,하이볼 글라스,322,3
rec_1013,보일링 포인트,Boiling Point,위스키_Whiskey,,,깔끔한,청량한,씁쓸함_Bitterness,,,스터,8.4,O,하이볼 글라스,385,4
rec_1014,조니 독스 니트,Johnny Dogs Neat,위스키_Whiskey,,,고급스러운,,씁쓸함_Bitterness,,,빌드,40,X,락 글라스,210,2
rec_1015,조니 독스 온더락,Johnny Dogs On the Rocks,위스키_Whiskey,,,고급스러운,,씁쓸함_Bitterness,,,빌드,40,O,락 글라스,210,2
rec_1016,번햄 버번 니트,Burnham Bourbon Neat,위스키_Whiskey,,,정열적인,,씁쓸함_Bitterness,,,빌드,45,X,락 글라스,210,2
rec_1017,번햄 버번 온더락,Burnham Bourbon On the Rocks,위스키_Whiskey,,,정열적인,,씁쓸함_Bitterness,,,빌드,45,O,락 글라스,210,2
rec_1018,바하 니트,Beatha Neat,위스키_Whiskey,,,포근한,,씁쓸함_Bitterness,,,빌드,40,X,락 글라스,210,2
rec_1019,바하 온더락,Beatha On the Rocks,위스키_Whiskey,,,포근한,,씁쓸함_Bitterness,,,빌드,40,O,락 글라스,210,2
rec_1020,브리즈 니트,Breeze Neat,보드카_Vodka,,,깔끔한,정열적인,무맛_Neutral,,,빌드,40,X,락 글라스,210,2
rec_1021,브리즈 온더락,Breeze On the Rocks,보드카_Vodka,,,깔끔한,,무맛_Neutral,,,빌드,40,O,락 글라스,210,2
rec_1022,,,,,,,,,,,,,,,,
rec_1023,,,,,,,,,,,,,,,,
rec_1024,,,,,,,,,,,,,,,,
rec_1025,,,,,,,,,,,,,,,,
rec_1026,,,,,,,,,,,,,,,,
rec_1027,,,,,,,,,,,,,,,,
rec_1028,,,,,,,,,,,,,,,,
rec_1029,,,,,,,,,,,,,,,,
rec_1030,,,,,,,,,,,,,,,,
rec_1031,,,,,,,,,,,,,,,,
rec_1032,,,,,,,,,,,,,,,,
rec_1033,,,,,,,,,,,,,,,,
rec_1034,,,,,,,,,,,,,,,,
rec_1035,,,,,,,,,,,,,,,,
rec_1036,,,,,,,,,,,,,,,,
rec_1037,,,,,,,,,,,,,,,,
rec_1038,,,,,,,,,,,,,,,,
rec_1039,,,,,,,,,,,,,,,,
rec_1040,,,,,,,,,,,,,,,,
rec_1041,,,,,,,,,,,,,,,,
rec_1042,,,,,,,,,,,,,,,,
rec_1043,,,,,,,,,,,,,,,,
rec_1044,,,,,,,,,,,,,,,,
rec_1045,,,,,,,,,,,,,,,,
rec_1046,,,,,,,,,,,,,,,,
rec_1047,,,,,,,,,,,,,,,,
rec_1048,,,,,,,,,,,,,,,,
rec_1049,,,,,,,,,,,,,,,,
rec_1050,,,,,,,,,,,,,,,,
rec_1051,,,,,,,,,,,,,,,,
rec_1052,,,,,,,,,,,,,,,,
rec_1053,,,,,,,,,,,,,,,,
rec_1054,,,,,,,,,,,,,,,,
rec_1055,,,,,,,,,,,,,,,,
rec_1056,,,,,,,,,,,,,,,,
rec_1057,,,,,,,,,,,,,,,,
rec_1058,,,,,,,,,,,,,,,,
rec_1059,,,,,,,,,,,,,,,,
rec_1060,,,,,,,,,,,,,,,,
rec_1061,,,,,,,,,,,,,,,,
rec_1062,,,,,,,,,,,,,,,,
rec_1063,,,,,,,,,,,,,,,,
rec_1064,,,,,,,,,,,,,,,,
rec_1065,,,,,,,,,,,,,,,,
rec_1066,,,,,,,,,,,,,,,,
rec_1067,,,,,,,,,,,,,,,,
rec_1068,,,,,,,,,,,,,,,,
rec_1069,,,,,,,,,,,,,,,,
rec_1070,,,,,,,,,,,,,,,,
rec_1071,,,,,,,,,,,,,,,,
rec_1072,,,,,,,,,,,,,,,,
rec_1073,,,,,,,,,,,,,,,,
rec_1074,,,,,,,,,,,,,,,,
rec_1075,,,,,,,,,,,,,,,,
rec_1076,,,,,,,,,,,,,,,,
rec_1077,,,,,,,,,,,,,,,,
rec_1078,,,,,,,,,,,,,,,,
rec_1079,,,,,,,,,,,,,,,,
rec_1080,,,,,,,,,,,,,,,,
rec_1081,,,,,,,,,,,,,,,,
rec_1082,,,,,,,,,,,,,,,,
rec_1083,,,,,,,,,,,,,,,,
rec_1084,,,,,,,,,,,,,,,,
rec_1085,,,,,,,,,,,,,,,,
rec_1086,,,,,,,,,,,,,,,,
rec_1087,,,,,,,,,,,,,,,,
rec_1088,,,,,,,,,,,,,,,,
rec_1089,,,,,,,,,,,,,,,,
rec_1090,,,,,,,,,,,,,,,,
rec_1091,,,,,,,,,,,,,,,,
rec_1092,,,,,,,,,,,,,,,,
rec_1093,,,,,,,,,,,,,,,,
rec_1094,,,,,,,,,,,,,,,,
rec_1095,,,,,,,,,,,,,,,,
rec_1096,,,,,,,,,,,,,,,,
rec_1097,,,,,,,,,,,,,,,,
rec_1098,,,,,,,,,,,,,,,,
rec_1099,,,,,,,,,,,,,,,,
