recipeId,itemId,targetMl,toleranceMl
rec_1001,item_1002,15,5
rec_1001,item_1005,30,5
rec_1001,item_1003,15,5
rec_1001,item_1013,30,5
rec_1002,item_1008,60,5
rec_1002,item_1005,30,5
rec_1002,item_1003,15,5
rec_1003,item_1008,30,5
rec_1003,item_1011,30,5
rec_1004,item_1008,30,5
rec_1004,item_1012,30,5
rec_1005,item_1009,30,5
rec_1005,item_1010,30,5
rec_1005,item_1013,30,5
rec_1006,item_1007,30,5
rec_1006,item_1001,90,5
rec_1007,item_1002,15,5
rec_1007,item_1003,15,5
rec_1007,item_1001,90,5
rec_1011,item_1012,30,5
rec_1012,item_1012,30,5
rec_1013,item_1013,30,5
rec_1014,item_1013,30,5
rec_1015,item_1014,30,5
rec_1016,item_1014,30,5
rec_1017,item_1011,30,5
rec_1018,item_1011,30,5
