#META,,,,,,,,,,,
episodeId,episodeTitle,firstNodeId,episodeType,mandatorySlot,chapterId,,,,,,
NightShift,야간 근무,0,Mandatory,BeforeBusiness,Sector0,,,,,,
,,,,,,,,,,,
#TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
MinDay,4,,,,,,,,,,
,,,,,,,,,,,
#PLAY_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
,,,,,,,,,,,
#SELECT_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,selectFlag,selectText,revealConditionType,revealConditionValue,hiddenText,,,,,
,,,,,,,,,,,
#SELECT_CHARS,,,,,,,,,,,
selectFlag,isHidden,characterName,,,,,,,,,
,,,,,,,,,,,
#OPENING_CHARS,,,,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#BOARD,,,,,,,,,,,
episodeDescription,iconNameBoard,iconNameArchive,,,,,,,,,
,,,,,,,,,,,
#BOARD_CHARS,,,,,,,,,,,
isHidden,characterName,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#NODES,,,,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,craftingOrderTarget,bgmCommand,bgmClipName,sfxCommand,sfxClipName
0,f03,,…,1,FALSE,,,play,sfx_come_in,,
1,shaun,,좋은 밤입니다 손님!,2,FALSE,,,,,,
2,f03,,음… 여기가 그 소문의 술집인가보군. 별 문제 없나?,3,FALSE,,,,,,
3,shaun,,오늘의 첫 손님이 무서운 소총을 든 경찰관님인 것만 빼면 말이죠…!,4,FALSE,,,,,,
4,f03,,하지만 일은 일인걸.,5,FALSE,,,,,,
5,shaun,,일이라뇨? 9번가에 무슨 일이라도 생긴건가요?,6,FALSE,,,,,,
6,f03,,음… 자네 뉴스 안보나?,7,FALSE,,,,,,
7,shaun,,뉴스..라뇨?,8,FALSE,,,,,,
8,f03,,오늘은 대규모 야간 순찰이 있는 날이라네. 거리에 경찰이 쫙 깔렸다고.,9,FALSE,,,,,,
9,f03,,"뭐, 흔한 일은 아니긴 하지.",10,FALSE,,,,,,
10,f54,,오! 션! 오늘 영업 하는구나?,11,FALSE,,,play,sfx_come_in,,
11,f54,,선배님도 먼저 와계셨네요!,12,FALSE,,,,,,
12,f03,,네가 늦은거다 F54.,13,FALSE,,,,,,
13,shaun,,54! 무슨 이게 일이야?,14,FALSE,,,,,,
14,f54,,션… 너 뉴스도 안봐? 오늘 야간 순찰 날이잖아?,15,FALSE,,,,,,
15,shaun,,아까부터 순찰이라니?,16,FALSE,,,,,,
16,f54,,UPD본부에서 주기적으로 시키는건데 UPD인원 전원 이끌고 한바탕 순찰하는거야.,17,FALSE,,,,,,
17,f54,,순찰을 예고한다니… 참 연합 답다니까. 범죄자들한테 미리 숨으라고 알려주는 꼴이잖아.,18,FALSE,,,,,,
18,f03,,F54. 말 조심하게.,19,FALSE,,,,,,
19,f03,,그래도 틀린 말은 아니지. 게다가 덕분에 이렇게 순찰하다 농땡이도 피우는거 아니겠나?,20,FALSE,,,,,,
20,shaun,,"두 분 모두, 직업정신이 투철하진 못한 편 이시군요.",21,FALSE,,,,,,
21,f54,,"너한테는 좋은 일인걸? UPD대원들이 거리에 풀리는 날인데, 이 펍이 장사가 안될 리가.",22,FALSE,,,,,,
22,f54,,"게다가 다들 바빠서, 간단한 칵테일만 주문할걸? 돈은 자루에 쓸어담기만 하면 될 일이라고.",23,FALSE,,,,,,
23,f03,,말 나온 김에 목이라도 축여야겠군.,24,FALSE,,,,,,
24,f03,,<b>조니 독스 니트</b> 한 잔 주게. 빨리 마시고 다시 합류해야 하거든.,25,FALSE,,,,,,
25,,,,,TRUE,np0_f03,rec_1014,,,,
26_1_1,f03,,굳이 찾아올 만하군.,26_1_2,FALSE,,,,,,
26_1_2,f03,,"아무리 9번가 라지만, 제대로된 술 한 모금은 귀한 편이지.",27,FALSE,,,,,,
26_2_1,f03,,내가 주문을 잘못 말했었나?,26_2_2,FALSE,,,,,,
26_2_2,f03,,"아니야, 잊어. 9번가에서 술맛을 기대하는건 사치지.",27,FALSE,,,,,,
26_3_1,f03,,"음...얼음이...아니야, 됐어.",26_3_2,FALSE,,,,,,
26_3_2,f03,,그래도 위스키 맛은 제대로군.,27,FALSE,,,,,,
26_4_1,f03,,"음...잔이...아니야, 됐어.",26_4_2,FALSE,,,,,,
26_4_2,f03,,그래도 위스키 맛은 제대로군.,27,FALSE,,,,,,
26_5_1,f03,,"음...얼음하고 잔이...아니야, 됐어.",26_5_2,FALSE,,,,,,
26_5_2,f03,,그래도 위스키 맛은 제대로군.,27,FALSE,,,,,,
27,f03,,"이런, 시간이 벌써 이렇게 됐나. 슬슬 진짜 복귀해야겠군.",28,FALSE,,,,,,
28,f54,,"이런… 나도 한 잔 하려 했는데, 돌아가 봐야겠어.",29,FALSE,,,,,,
29,shaun,,너는 근무중 술 좀 줄이도록 해.,30,FALSE,,,,,,
30,f54,,여기 매출 책임져주는 단골한테 말이 심하군!,31,FALSE,,,,,,
31,f54,,"아무튼, 이따가 다시 들를게, 오늘도 힘내!",,FALSE,,,,,,
,,,,,,,,,,,
#NODE_CRAFTING_BRANCHES,,,,,,,,,,,
nodeId,result,nextNodeId,flag,varChanges,,,,,,,
25,Good,26_1_1,,,,,,,,,
25,Bad,26_2_1,,,,,,,,,
25,MidIce,26_3_1,,,,,,,,,
25,MidGlass,26_4_1,,,,,,,,,
25,MidIceGlass,26_5_1,,,,,,,,,
25,MidWrongMenu,26_2_1,,,,,,,,,
,,,,,,,,,,,
#NODE_CHARS,,,,,,,,,,,
nodeId,characterKey,expressionKey,slotIndex,,,,,,,,
0,f03,mid,0,,,,,,,,
1,f03,mid,0,,,,,,,,
2,f03,mid,0,,,,,,,,
3,f03,mid,0,,,,,,,,
4,f03,mid,0,,,,,,,,
5,f03,mid,0,,,,,,,,
6,f03,mid,0,,,,,,,,
7,f03,mid,0,,,,,,,,
8,f03,mid,0,,,,,,,,
9,f03,mid,0,,,,,,,,
10,f03,mid,0,,,,,,,,
10,f54,smile,1,,,,,,,,
11,f03,mid,0,,,,,,,,
11,f54,mid,1,,,,,,,,
12,f03,mid,0,,,,,,,,
12,f54,mid,1,,,,,,,,
13,f03,mid,0,,,,,,,,
13,f54,mid,1,,,,,,,,
14,f03,mid,0,,,,,,,,
14,f54,mid,1,,,,,,,,
15,f03,mid,0,,,,,,,,
15,f54,mid,1,,,,,,,,
16,f03,mid,0,,,,,,,,
16,f54,mid,1,,,,,,,,
17,f03,mid,0,,,,,,,,
17,f54,mid,1,,,,,,,,
18,f03,bad,0,,,,,,,,
18,f54,mid,1,,,,,,,,
19,f03,mid,0,,,,,,,,
19,f54,mid,1,,,,,,,,
20,f03,mid,0,,,,,,,,
20,f54,mid,1,,,,,,,,
21,f03,mid,0,,,,,,,,
21,f54,mid,1,,,,,,,,
22,f03,mid,0,,,,,,,,
22,f54,mid,1,,,,,,,,
23,f03,mid,0,,,,,,,,
23,f54,mid,1,,,,,,,,
24,f03,mid,0,,,,,,,,
24,f54,mid,1,,,,,,,,
26_1_1,f03,good,0,,,,,,,,
26_1_1,f54,mid,1,,,,,,,,
26_1_2,f03,good,0,,,,,,,,
26_1_2,f54,mid,1,,,,,,,,
26_2_1,f03,bad,0,,,,,,,,
26_2_1,f54,mid,1,,,,,,,,
26_2_2,f03,bad,0,,,,,,,,
26_2_2,f54,mid,1,,,,,,,,
26_3_1,f03,bad,0,,,,,,,,
26_3_1,f54,mid,1,,,,,,,,
26_3_2,f03,mid,0,,,,,,,,
26_3_2,f54,mid,1,,,,,,,,
26_4_1,f03,bad,0,,,,,,,,
26_4_1,f54,mid,1,,,,,,,,
26_4_2,f03,mid,0,,,,,,,,
26_4_2,f54,mid,1,,,,,,,,
26_5_1,f03,bad,0,,,,,,,,
26_5_1,f54,mid,1,,,,,,,,
26_5_2,f03,mid,0,,,,,,,,
26_5_2,f54,mid,1,,,,,,,,
27,f03,mid,0,,,,,,,,
27,f54,mid,1,,,,,,,,
28,f54,mid,1,,,,,,,,
29,f54,mid,1,,,,,,,,
29,f54,mid,1,,,,,,,,
30,f54,mid,1,,,,,,,,
31,f54,mid,1,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#CHOICES,,,,,,,,,,,
nodeId,choiceIndex,buttonText,nextNodeId,setFlags,clearFlags,varChanges,,,,,
,,,,,,,,,,,
#NODE_BRANCHES,,,,,,,,,,,
nodeId,requiredAllFlags,requiredAnyFlags,nextNodeId,,,,,,,,
,,,,,,,,,,,
#NODE_VAR_BRANCHES,,,,,,,,,,,
nodeId,varName,op,threshold,nextNodeId,,,,,,,
