#META,,,,,,,,,,,
episodeId,episodeTitle,firstNodeId,episodeType,mandatorySlot,chapterId,,,,,,
TheLittles_2,아이들 2부,0,Default,,Sector0,,,,,,
,,,,,,,,,,,
#TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
PrerequisiteEpisode,TheLittles_1,아이들 1 클리어,,,,,,,,,
,,,,,,,,,,,
#SELECT_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,selectFlag,selectText,revealConditionType,revealConditionValue,hiddenText,,,,,
,,,,,,,,,,,
#SELECT_CHARS,,,,,,,,,,,
selectFlag,isHidden,characterName,,,,,,,,,
,,,,,,,,,,,
#OPENING_CHARS,,,,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#BOARD,,,,,,,,,,,
episodeDescription,iconNameBoard,iconNameArchive,,,,,,,,,
"9번가의 정비공, 5번가의 무녀. 모든것이 정 반대인 두 아이들.",TheLittles,,,,,,,,,,
,,,,,,,,,,,
#BOARD_CHARS,,,,,,,,,,,
isHidden,characterName,,,,,,,,,,
FALSE,eliud,,,,,,,,,,
FALSE,cartha,,,,,,,,,,
,,,,,,,,,,,
# SETTLEMENT_REWARDS,,,,,,,,,,,
requiredFlag,amount,label,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#NODES,,,,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,craftingOrderTarget,bgmCommand,bgmClipName,sfxCommand,sfxClipName
0,eliud,엘리엇?,흠흠-,1,FALSE,,,play,Ep_main_0,play,sfx_come_in
1,eliud,엘리엇?,좋은 아침이야. <b>브리즈 보드카</b>. 니트로 한잔 줘.,,FALSE,,,,,,
2_1_1,shaun,,"<b>엘리엇</b>, 지금 밤이야.",3,FALSE,,,,,,
2_2_1,shaun,,"<b>엘리엇</b>, 그 코트는 언제까지 입을거야? ",3,FALSE,,,,,,
3,cartha,,…,4,FALSE,,,,,play,sfx_come_in
4,shaun,,"오, 카사. 어서와. 좋은 밤이야.",5,FALSE,,,,,,
5,cartha,,…좋은 밤.,6,FALSE,,,,,,
6,cartha,,안녕. 엘리엇.,7,FALSE,,,,,,
7,eliud,,"아으! 너 때문에 다 들켰잖아, 카사!",8,FALSE,,,,,,
8,shaun,,진작에 다 들켰거든?,9,FALSE,,,,,,
9,eliud,,전보다 어른처럼 더 준비했는데!,10,FALSE,,,,,,
10,shaun,,"그보다, 뭐라도 마시겠어? <b>기네스 경?</b>",11,FALSE,,,,,,
11,eliud,,"치, 또 <b>저번에 그것</b>밖에 안줄거잖아.",12,FALSE,,,,,,
12,shaun,,"그래서, 싫어?",13,FALSE,,,,,,
13,eliud,,그-그건…아니지만…,14,FALSE,,,,,,
14,,,,,TRUE,tl2_eliud,rec_1007,,,,
15_1_1,eliud,,역시 이 맛이지! 술은 아니지만 인정해 줄게.,15_1_2,FALSE,,,,,,
15_1_2,eliud,,"그래, 맛있게 마셔라.",16,FALSE,,,,,,
15_2_1,eliud,,이게 뭐야. 저번이랑 같은 거 맞아?,16,FALSE,,,,,,
15_3_1,eliud,,얼음이 조금 덜 들어간 것 같은데? 그래도 맛은 있네.,16,FALSE,,,,,,
15_4_1,eliud,,잔이 조금 아쉽긴 한데… 맛은 똑같으니까 괜찮지!,16,FALSE,,,,,,
15_5_1,eliud,,얼음도 잔도 묘하지만…달콤하니까 봐준다!,16,FALSE,,,,,,
16,cartha,,그거 맛있어?,17,FALSE,,,,,,
17,eliud,,한 입 먹을래?,18,FALSE,,,,,,
18,shaun,,"카사도 한 잔 줄까? 걱정하지마, <b>알콜은 안 들어있어.</b>",19,FALSE,,,,,,
19,cartha,,응… 궁금해.,20,FALSE,,,,,,
20,,,,,TRUE,tl2_cartha,rec_1007,,,,
21_1_1,cartha,,이런 맛은 처음이야. 달콤해.,21_1_2,FALSE,,,,,,
21_1_2,shaun,,다행이네. 앞으로도 많이 만들어줄게.,22,FALSE,,,,,,
21_2_1,cartha,,이거 이상해. 재 냄새가 나.,21_2_2,FALSE,,,,,,
21_2_2,shaun,,"이런, 아직 손이 덜 풀렸나봐.",21_2_3,FALSE,,,,,,
21_2_3,cartha,,괜찮아. 알고 있었어.,22,FALSE,,,,,,
21_3_1,cartha,,음…나쁘진 않아.,22,FALSE,,,,,,
21_4_1,cartha,,"잔이 조금 불편하긴 한데, 맛은 달콤해.",22,FALSE,,,,,,
21_5_1,cartha,,"모양이 조금 이상하긴 한데, 속이 편안해지는 맛이야.",22,FALSE,,,,,,
