#META,,,,,,,,,,,
episodeId,episodeTitle,firstNodeId,episodeType,mandatorySlot,chapterId,,,,,,
Today,오늘,0,Mandatory,BeforeBusiness,Sector0,,,,,,
,,,,,,,,,,,
#TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
MinDay,0,,,,,,,,,,
,,,,,,,,,,,
#PLAY_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,text,,,,,,,,,
,,,,,,,,,,,
#SELECT_TRIGGER,,,,,,,,,,,
conditionType,conditionValue,selectFlag,selectText,revealConditionType,revealConditionValue,hiddenText,,,,,
,,,,,,,,,,,
#SELECT_CHARS,,,,,,,,,,,
selectFlag,isHidden,characterName,,,,,,,,,
,,,,,,,,,,,
#OPENING_CHARS,,,,,,,,,,,
characterKey,expressionKey,slotIndex,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#BOARD,,,,,,,,,,,
episodeDescription,iconNameBoard,iconNameArchive,,,,,,,,,
,,,,,,,,,,,
#BOARD_CHARS,,,,,,,,,,,
isHidden,characterName,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#NODES,,,,,,,,,,,
nodeId,speakerKey,overrideSpeakerName,text,nextNodeId,requiresCrafting,craftingTicketKey,craftingOrderTarget,bgmCommand,bgmClipName,sfxCommand,sfxClipName
0,f54,,"좋은 아침— 아니, 이제 곧 오픈이니까 좋은 저녁인가?",1,FALSE,,,play,Ep_main_0,play,sfx_come_in
1,shaun,,"좋은 저녁이야, 54.",2,FALSE,,,,,,
2,shaun,,아직 정식 오픈까지는 20분 남았어.,3,FALSE,,,,,,
3,f54,,"에이, 네 절친이자 이 구역 UPD 치안 담당관한테 20분쯤 일찍 문 열어주는 게 뭐 대수라고!",4,FALSE,,,,,,
4,shaun,,"그런 말 하지말아줘, 오늘부터 정말로 혼자 해내야 한다고 생각하니 긴장돼 쓰러질 것 같다고.",5,FALSE,,,,,,
5,shaun,,"아버지가 계실 땐 몰랐는데, 이 카운터 혼자 서 있는 것만으로도 공기가 다르게 느껴져.",6,FALSE,,,,,,
6,f54,,"부담되는 건 당연하지. 하지만 션, 아버지께서 떠나셨지만, 넌 여전히 혼자가 아니야.",7,FALSE,,,,,,
7,f54,,최소한 내가 여기 있잖아!,8,FALSE,,,,,,
8,shaun,,아버지를 생각하면 … 내가 과연 이 자리를 지킬 자격이 있나 싶어.,,FALSE,,,,,,
9_1_1,shaun,,내가 만든 술이 아버지의 맛과 다르면 손님들이 실망하겠지.,9_1_2,FALSE,,,,,,
9_1_2,f54,,바보 같은 소리. 손님들은 이제 영감님을 보러 오는 게 아니야. '션 오도넬'이 내주는 숨 쉴 틈을 찾는 거지.,10,FALSE,,,,,,
9_2_1,shaun,,그래도 도망칠 수는 없어. 이 펍은 아버지가 내게 남겨주신 전부니까.,9_2_2,FALSE,,,,,,
9_2_2,f54,,"그래, 바로 그 태도야! 오도넬 가문의 고집스러운 면모가 드디어 제 역할을 하네.",10,FALSE,,,,,,
10,f54,,"좋아, 그럼, 실전 전에 손가락이라도 풀 겸 나한테 한 잔 부탁할께.",11,FALSE,,,,,,
11,shaun,,연습 상대가 이 나라 걸 영광으로 알라고.,12,FALSE,,,,,,
12,shaun,,영광은 무슨… 늘 마시던 바하 온더락이면 되지?,13,FALSE,,,,,,
13,f54,,응! 바로 그거야.,14,FALSE,,,,,,
14,,,,,TRUE,td0_F54,rec_1019,,,,
14_1_1,f54,,"하아, 이거지! 긴장이 싹 녹네.",15,FALSE,,,,,,
14_2_1,f54,,"음... 션, 너 매뉴얼을 몇개 건너뛴 거 아냐? ",14_2_2,FALSE,,,,,,
14_2_2,f54,,이 맛이 아닌데… 다시 해봐.,14,FALSE,,,,,,
14_3_1,f54,,음. 늘 최고라니까.,14_3_2,FALSE,,,,,,
14_3_2,f54,,얼음만 빼먹지 않았다면 말이지.,14_3_3,FALSE,,,,,,
14_3_3,shaun,,"앗 미안, 다시 만들어줄까?",14_3_4,FALSE,,,,,,
14_3_4,f54,,괜찮아. 그래도 위스키는 위스키니까,15,FALSE,,,,,,
14_4_1,f54,,음. 늘 최고라니까.,14_4_2,FALSE,,,,,,
14_4_2,f54,,잔 선택만 조금 신경써주면 완벽할 것 같아.,14_4_3,FALSE,,,,,,
14_4_3,shaun,,"앗 미안, 다시 만들어줄까?",14_4_4,FALSE,,,,,,
14_4_4,f54,,괜찮아. 그래도 위스키는 위스키니까,15,FALSE,,,,,,
14_5_1,f54,,음… 그럭저럭 괜찮네.,14_5_2,FALSE,,,,,,
14_5_2,f54,,"얼음도 없고, 잔 선택도 꽝이지만 말이야.",14_5_3,FALSE,,,,,,
14_5_3,shaun,,"앗 미안, 다시 만들어줄까?",14_5_4,FALSE,,,,,,
